payroll_id,business_id,payroll_date,employee_count,salary_amount,department,overtime_cost,bonus_amount
140,33,2026-02-01,171,4859585.28,operations,569061.39,0.0
141,18,2026-02-01,271,6409410.71,operations,421355.94,0.0
142,42,2025-10-01,215,6593598.55,manufacturing,505996.07,1392939.75
143,27,2025-10-01,344,6928482.77,finance,0.0,877593.6
144,27,2024-08-01,344,9114893.46,sales,0.0,0.0
145,16,2024-06-01,405,10293471.62,sales,0.0,0.0
146,35,2024-06-01,307,10492950.96,operations,1184980.9,0.0
147,42,2025-01-01,215,5337232.22,support,0.0,0.0
148,47,2024-10-01,400,8830293.11,finance,0.0,1770184.35
149,41,2025-05-01,129,2723462.68,finance,0.0,0.0
150,15,2025-09-01,487,16567554.07,sales,0.0,0.0
151,32,2024-04-01,463,13036240.81,warehouse,725407.25,0.0
152,22,2024-05-01,108,2228906.84,warehouse,274178.44,0.0
153,18,2024-05-01,271,5918112.68,manufacturing,653853.26,0.0
154,9,2024-10-01,201,4340413.42,support,0.0,440760.73
155,28,2026-01-01,247,7194177.55,operations,548412.78,0.0
156,38,2024-12-01,149,4868142.68,operations,550460.7,0.0
157,35,2024-10-01,307,8516394.36,finance,0.0,2045081.94
158,5,2025-09-01,304,9912954.69,sales,0.0,0.0
159,1,2024-07-01,398,9772757.35,finance,0.0,0.0
160,4,2026-03-01,159,4113881.67,finance,0.0,0.0
161,36,2024-07-01,275,6935738.35,HR,0.0,0.0
162,35,2025-11-01,307,7014463.39,HR,0.0,866977.06
163,10,2025-03-01,350,10623701.88,sales,0.0,0.0
164,26,2024-07-01,465,13571886.14,sales,0.0,0.0
165,2,2024-05-01,254,8083413.14,finance,0.0,0.0
166,15,2024-11-01,487,12824483.85,finance,0.0,2972796.98
167,20,2025-10-01,310,8429725.04,sales,0.0,1461939.55
168,38,2024-06-01,149,4841755.71,sales,0.0,0.0
169,10,2025-05-01,350,7636913.28,manufacturing,654065.39,0.0
170,35,2025-09-01,307,9249529.92,finance,0.0,0.0
171,27,2024-07-01,344,8111151.6,manufacturing,1156733.11,0.0
172,7,2024-06-01,425,9693499.12,warehouse,951413.8,0.0
173,16,2026-04-01,405,13100618.08,finance,0.0,0.0
174,4,2024-07-01,159,3197416.99,manufacturing,179548.61,0.0
175,21,2025-05-01,88,2095706.32,warehouse,192000.91,0.0
176,13,2025-10-01,415,10130166.21,support,0.0,2379378.68
177,34,2025-08-01,411,9137590.35,support,0.0,0.0
178,12,2024-12-01,260,5296990.71,support,0.0,0.0
179,40,2025-05-01,105,2896100.13,support,0.0,0.0
180,21,2024-05-01,88,2331710.54,support,0.0,0.0
181,3,2025-02-01,252,5448671.12,operations,505006.33,0.0
182,18,2025-06-01,271,9429892.64,manufacturing,765596.92,0.0
183,29,2024-10-01,172,3541269.35,warehouse,403530.75,501851.73
184,14,2025-10-01,152,3829707.79,finance,0.0,639532.54
185,15,2025-04-01,487,9894136.33,sales,0.0,0.0
186,24,2024-07-01,205,4450902.83,warehouse,531740.09,0.0
187,45,2024-08-01,322,6741468.34,support,0.0,0.0
188,28,2024-07-01,247,8553167.85,support,0.0,0.0
189,21,2026-03-01,88,2790659.99,HR,0.0,0.0
190,15,2026-03-01,487,16257190.1,finance,0.0,0.0
191,27,2025-05-01,344,8454819.9,operations,863066.83,0.0
192,12,2025-03-01,260,6467228.6,HR,0.0,0.0
193,1,2025-11-01,398,8345445.65,sales,0.0,1548044.49
194,16,2025-04-01,405,12442588.42,HR,0.0,0.0
195,33,2025-05-01,171,3772091.86,finance,0.0,0.0
196,28,2024-09-01,247,8590954.82,operations,1150125.52,0.0
197,31,2025-01-01,31,793906.49,finance,0.0,0.0
198,44,2025-11-01,433,9752048.16,sales,0.0,1434187.8
199,25,2025-10-01,84,2680529.19,support,0.0,512448.01
200,30,2025-05-01,418,14185460.16,operations,1026720.48,0.0
201,49,2025-01-01,262,8762124.93,manufacturing,702811.97,0.0
202,25,2024-09-01,84,2312976.85,HR,0.0,0.0
203,25,2024-04-01,84,1792314.66,manufacturing,259256.07,0.0
204,4,2024-12-01,159,5341927.28,operations,667076.76,0.0
205,29,2025-01-01,172,4479709.43,HR,0.0,0.0
206,2,2026-03-01,254,6468233.11,sales,0.0,0.0
207,5,2026-03-01,304,10045037.01,HR,0.0,0.0
208,6,2024-05-01,486,12929032.47,HR,0.0,0.0
209,22,2025-09-01,108,3065270.25,manufacturing,232433.13,0.0
210,23,2025-03-01,191,5440281.96,HR,0.0,0.0
211,47,2026-03-01,400,11365103.74,sales,0.0,0.0
212,39,2025-01-01,385,11696311.77,manufacturing,692552.83,0.0
213,28,2024-07-01,247,7033229.85,warehouse,504200.63,0.0
214,34,2025-01-01,411,10949792.41,HR,0.0,0.0
215,38,2025-03-01,149,5207868.2,sales,0.0,0.0
216,34,2025-06-01,411,14068792.94,warehouse,1622167.48,0.0
217,43,2024-08-01,275,8146065.35,support,0.0,0.0
218,6,2025-01-01,486,14705504.29,sales,0.0,0.0
219,13,2025-07-01,415,9301539.96,manufacturing,588053.57,0.0
220,31,2024-10-01,31,714835.98,HR,0.0,106184.16
221,33,2024-09-01,171,4418243.16,manufacturing,545907.73,0.0
222,22,2025-10-01,108,2535255.58,operations,209344.26,608798.33
223,34,2024-12-01,411,9840699.19,manufacturing,1387143.6,0.0
224,25,2025-10-01,84,2807003.17,support,0.0,556718.71
225,26,2026-03-01,465,12491712.53,HR,0.0,0.0
226,3,2025-07-01,252,6609743.28,support,0.0,0.0
227,6,2024-08-01,486,11954490.32,finance,0.0,0.0
228,6,2024-06-01,486,13102145.82,HR,0.0,0.0
229,48,2025-06-01,231,7780198.77,HR,0.0,0.0
230,9,2025-02-01,201,4594129.86,support,0.0,0.0
231,22,2024-10-01,108,2364906.33,manufacturing,255904.72,448336.29
232,22,2025-09-01,108,3670079.64,sales,0.0,0.0
233,1,2025-01-01,398,9485496.2,sales,0.0,0.0
234,50,2025-02-01,497,16835649.24,manufacturing,2061474.28,0.0
235,42,2024-06-01,215,6329286.64,sales,0.0,0.0
236,16,2025-04-01,405,12018181.17,operations,691069.51,0.0
237,9,2025-07-01,201,4752627.86,support,0.0,0.0
238,7,2024-05-01,425,13177896.91,warehouse,1312556.42,0.0
239,30,2024-07-01,418,9524610.21,sales,0.0,0.0
240,18,2025-08-01,271,6427468.76,HR,0.0,0.0
241,2,2025-04-01,254,8647433.31,finance,0.0,0.0
242,42,2024-08-01,215,7310081.74,finance,0.0,0.0
243,33,2024-07-01,171,3931919.26,manufacturing,529416.34,0.0
244,47,2024-04-01,400,11543180.74,HR,0.0,0.0
245,12,2024-08-01,260,7091547.39,sales,0.0,0.0
246,31,2026-03-01,31,680589.38,HR,0.0,0.0
247,40,2025-07-01,105,3006457.2,finance,0.0,0.0
248,39,2024-10-01,385,8687962.66,warehouse,1204896.42,2092172.72
249,2,2025-03-01,254,8142170.68,operations,923571.62,0.0
250,16,2024-12-01,405,13775477.9,finance,0.0,0.0
251,10,2024-10-01,350,10362729.87,HR,0.0,2267939.98
252,40,2024-06-01,105,3534891.78,HR,0.0,0.0
253,19,2025-05-01,97,3369681.01,support,0.0,0.0
254,8,2024-06-01,372,9926996.26,finance,0.0,0.0
255,22,2025-10-01,108,2553367.36,sales,0.0,465231.28
256,15,2024-05-01,487,13065691.56,HR,0.0,0.0
257,20,2024-06-01,310,10227134.76,operations,1076473.99,0.0
258,34,2024-05-01,411,11418650.45,operations,602797.87,0.0
259,43,2024-06-01,275,6643200.45,finance,0.0,0.0
260,8,2025-12-01,372,12912709.75,manufacturing,1434409.11,0.0
261,2,2025-04-01,254,8324032.21,finance,0.0,0.0
262,43,2026-03-01,275,7614685.27,finance,0.0,0.0
263,22,2026-03-01,108,2795307.93,warehouse,340829.77,0.0
264,4,2025-09-01,159,4272863.68,warehouse,536284.9,0.0
265,44,2024-05-01,433,12351234.69,operations,1531044.63,0.0
266,3,2025-05-01,252,6655255.36,support,0.0,0.0
267,3,2024-04-01,252,7687206.27,manufacturing,953835.93,0.0
268,36,2024-08-01,275,6215043.48,support,0.0,0.0
269,21,2025-03-01,88,1852677.98,sales,0.0,0.0
270,14,2026-01-01,152,4893869.37,warehouse,673519.83,0.0
271,31,2024-12-01,31,846902.74,manufacturing,73720.5,0.0
272,36,2025-07-01,275,9335401.44,manufacturing,740040.9,0.0
273,5,2025-12-01,304,8237390.83,support,0.0,0.0
274,45,2025-08-01,322,8824382.44,sales,0.0,0.0
275,17,2025-05-01,144,3188492.38,support,0.0,0.0
276,2,2024-05-01,254,6903327.94,sales,0.0,0.0
277,17,2024-11-01,144,4030222.72,manufacturing,316206.09,864328.9
278,49,2024-04-01,262,8338656.47,sales,0.0,0.0
279,11,2024-07-01,169,4674731.27,HR,0.0,0.0
280,28,2024-11-01,247,6036312.15,HR,0.0,873839.45
281,28,2024-12-01,247,5189548.81,manufacturing,359426.15,0.0
282,44,2024-12-01,433,11576331.53,warehouse,1542527.4,0.0
283,17,2024-06-01,144,3756915.9,sales,0.0,0.0
284,8,2025-03-01,372,11176889.32,operations,860130.58,0.0
285,50,2025-11-01,497,11981135.62,support,0.0,1875178.07
286,31,2024-09-01,31,1018371.28,support,0.0,0.0
287,32,2025-03-01,463,11217084.08,sales,0.0,0.0
288,39,2026-01-01,385,8440677.66,support,0.0,0.0
289,42,2025-06-01,215,4314675.13,HR,0.0,0.0
290,5,2026-02-01,304,10453284.02,sales,0.0,0.0
291,34,2024-05-01,411,8810421.25,sales,0.0,0.0
292,44,2025-05-01,433,13957190.77,sales,0.0,0.0
293,1,2024-07-01,398,9374551.87,support,0.0,0.0
294,13,2024-06-01,415,11294071.5,HR,0.0,0.0
295,31,2024-10-01,31,829280.63,HR,0.0,193343.71
296,4,2024-11-01,159,3592321.75,HR,0.0,516562.18
297,23,2026-04-01,191,6183848.89,warehouse,924025.87,0.0
298,38,2025-11-01,149,3106000.98,finance,0.0,324782.42
299,15,2026-03-01,487,10578626.87,HR,0.0,0.0
300,32,2025-06-01,463,13769542.27,warehouse,1000114.0,0.0
301,15,2026-02-01,487,12946355.47,finance,0.0,0.0
302,22,2024-09-01,108,2712406.76,sales,0.0,0.0
303,31,2024-08-01,31,858827.94,operations,76080.1,0.0
304,12,2024-05-01,260,5457913.64,warehouse,428654.46,0.0
305,6,2025-01-01,486,12471441.53,HR,0.0,0.0
306,26,2026-02-01,465,9386518.39,manufacturing,1382690.32,0.0
307,19,2025-09-01,97,3332294.26,sales,0.0,0.0
308,34,2025-08-01,411,8893133.98,warehouse,1045636.05,0.0
309,35,2024-07-01,307,10727563.61,finance,0.0,0.0
310,24,2025-10-01,205,4526245.66,support,0.0,985927.38
311,27,2024-11-01,344,7845753.43,finance,0.0,1796168.38
312,22,2024-06-01,108,3457249.94,finance,0.0,0.0
313,19,2025-03-01,97,2166481.09,operations,177346.26,0.0
314,43,2025-01-01,275,6449131.78,operations,754786.18,0.0
315,7,2024-05-01,425,11112377.55,operations,1483763.18,0.0
316,39,2024-06-01,385,8504852.35,sales,0.0,0.0
317,43,2025-03-01,275,7554956.94,support,0.0,0.0
318,24,2025-09-01,205,4100483.27,sales,0.0,0.0
319,34,2024-10-01,411,8772668.3,finance,0.0,1597579.55
320,21,2025-04-01,88,2994242.68,support,0.0,0.0
321,4,2026-01-01,159,4493036.03,HR,0.0,0.0
322,45,2025-07-01,322,7618377.25,warehouse,1107888.69,0.0
323,47,2025-01-01,400,12428489.56,manufacturing,1294253.36,0.0
324,11,2024-09-01,169,5414715.48,operations,456791.75,0.0
325,24,2025-08-01,205,5754456.47,manufacturing,423483.32,0.0
326,37,2024-07-01,118,2566636.85,support,0.0,0.0
327,32,2025-02-01,463,12790310.4,warehouse,1231605.37,0.0
328,28,2025-02-01,247,6514610.33,sales,0.0,0.0
329,19,2025-08-01,97,2045441.38,sales,0.0,0.0
330,39,2025-07-01,385,10112319.29,manufacturing,702624.87,0.0
331,41,2024-08-01,129,3835900.82,operations,487363.6,0.0
332,2,2025-01-01,254,5150487.95,warehouse,689862.79,0.0
333,20,2025-01-01,310,8665980.89,finance,0.0,0.0
334,22,2025-05-01,108,3585053.78,HR,0.0,0.0
335,41,2025-05-01,129,4357821.15,HR,0.0,0.0
336,9,2025-02-01,201,4518481.14,manufacturing,253098.04,0.0
337,13,2024-07-01,415,9992160.94,sales,0.0,0.0
338,29,2024-08-01,172,4031366.32,support,0.0,0.0
339,34,2026-04-01,411,12156220.66,warehouse,1177215.2,0.0
340,7,2026-03-01,425,9602604.92,warehouse,607799.31,0.0
341,14,2024-12-01,152,3137069.41,sales,0.0,0.0
342,34,2025-09-01,411,14276621.14,manufacturing,1365930.69,0.0
343,14,2025-01-01,152,4343876.08,manufacturing,231795.56,0.0
344,37,2024-08-01,118,3146101.83,support,0.0,0.0
345,18,2024-10-01,271,7670686.98,manufacturing,789298.71,1611734.87
346,12,2025-01-01,260,5813144.33,sales,0.0,0.0
347,17,2024-05-01,144,4778184.09,finance,0.0,0.0
348,27,2024-08-01,344,8370969.73,manufacturing,563394.39,0.0
349,5,2026-03-01,304,10035704.48,support,0.0,0.0
350,41,2025-08-01,129,3651591.96,manufacturing,514272.04,0.0
351,24,2025-01-01,205,6831282.65,operations,544485.4,0.0
352,2,2026-02-01,254,5468483.71,HR,0.0,0.0
353,41,2025-02-01,129,3032999.84,sales,0.0,0.0
354,16,2025-12-01,405,13252226.75,sales,0.0,0.0
355,9,2025-08-01,201,7029132.16,warehouse,673458.19,0.0
356,30,2025-12-01,418,13591733.04,operations,1331076.59,0.0
357,12,2024-11-01,260,6447758.28,manufacturing,660360.13,1180842.99
358,16,2024-05-01,405,12837485.5,support,0.0,0.0
359,1,2026-01-01,398,9730543.35,warehouse,490712.58,0.0
360,4,2026-01-01,159,3718128.1,manufacturing,411927.82,0.0
361,14,2024-09-01,152,4429037.83,finance,0.0,0.0
362,42,2024-07-01,215,6699544.43,warehouse,817807.77,0.0
363,10,2025-06-01,350,7268144.1,sales,0.0,0.0
364,49,2024-06-01,262,6951244.78,sales,0.0,0.0
365,20,2026-03-01,310,6922835.97,HR,0.0,0.0
366,30,2025-04-01,418,13564272.26,HR,0.0,0.0
367,10,2024-11-01,350,10135978.15,support,0.0,1105475.62
368,17,2025-10-01,144,3291227.58,finance,0.0,572570.71
369,4,2025-04-01,159,4898421.43,manufacturing,464546.36,0.0
370,16,2025-07-01,405,8250051.8,operations,673190.52,0.0
371,4,2024-04-01,159,5305046.38,finance,0.0,0.0
372,10,2025-09-01,350,7475241.24,manufacturing,373789.76,0.0
373,50,2025-06-01,497,11223092.5,warehouse,1143567.04,0.0
374,46,2024-12-01,327,7755948.93,finance,0.0,0.0
375,35,2026-02-01,307,6445286.89,HR,0.0,0.0
376,41,2024-11-01,129,2631031.3,warehouse,154400.0,531727.08
377,13,2025-06-01,415,11108046.08,support,0.0,0.0
378,4,2024-05-01,159,4634267.3,support,0.0,0.0
379,9,2024-09-01,201,6986659.46,operations,677264.71,0.0
380,37,2025-05-01,118,3718644.89,finance,0.0,0.0
381,31,2025-02-01,31,730184.97,operations,50588.5,0.0
382,6,2024-07-01,486,16443101.09,support,0.0,0.0
383,45,2024-06-01,322,6530942.62,warehouse,787525.55,0.0
384,29,2025-11-01,172,5521815.31,support,0.0,1159912.46
385,25,2025-03-01,84,2226112.07,operations,317822.64,0.0
386,35,2025-06-01,307,6678785.71,operations,463679.49,0.0
387,31,2025-04-01,31,1012702.12,warehouse,70182.16,0.0
388,10,2025-09-01,350,10764987.43,sales,0.0,0.0
389,46,2026-03-01,327,7797575.71,HR,0.0,0.0
390,29,2024-12-01,172,4211390.81,warehouse,512032.52,0.0
391,43,2025-05-01,275,8897407.98,HR,0.0,0.0
392,8,2026-03-01,372,7703918.41,finance,0.0,0.0
393,46,2025-07-01,327,10493071.17,support,0.0,0.0
394,6,2026-03-01,486,15576747.07,operations,1826713.14,0.0
395,9,2025-04-01,201,6695807.38,finance,0.0,0.0
396,45,2024-09-01,322,8201155.52,manufacturing,1058198.41,0.0
397,7,2025-12-01,425,14219940.9,support,0.0,0.0
398,16,2024-09-01,405,11864205.33,finance,0.0,0.0
399,22,2025-09-01,108,3541616.68,finance,0.0,0.0
400,25,2024-10-01,84,2207689.42,HR,0.0,240487.77
401,1,2025-02-01,398,12645608.98,HR,0.0,0.0
402,35,2024-07-01,307,8033569.86,sales,0.0,0.0
403,14,2025-05-01,152,3183884.34,manufacturing,197243.3,0.0
404,47,2025-09-01,400,11305646.14,manufacturing,1479639.28,0.0
405,29,2026-03-01,172,5539367.32,operations,491884.26,0.0
406,13,2024-12-01,415,11607086.91,support,0.0,0.0
407,20,2025-06-01,310,8715507.32,warehouse,522094.71,0.0
408,18,2024-09-01,271,7795708.2,finance,0.0,0.0
409,49,2025-09-01,262,5878494.05,operations,307275.36,0.0
410,42,2024-08-01,215,5882033.86,support,0.0,0.0
411,49,2026-02-01,262,7781872.57,manufacturing,969841.01,0.0
412,1,2024-05-01,398,12904984.06,support,0.0,0.0
413,30,2025-10-01,418,9277488.1,support,0.0,1514734.14
414,7,2026-03-01,425,13372513.22,finance,0.0,0.0
415,32,2026-01-01,463,15743539.55,manufacturing,1103755.46,0.0
416,35,2025-05-01,307,7931356.75,sales,0.0,0.0
417,27,2024-10-01,344,7952244.16,warehouse,783912.11,1183907.17
418,6,2024-12-01,486,12871293.24,operations,1653443.15,0.0
419,25,2026-02-01,84,1761554.36,finance,0.0,0.0
420,44,2025-09-01,433,8676953.21,operations,885307.97,0.0
421,11,2024-12-01,169,3594017.21,HR,0.0,0.0
422,19,2026-03-01,97,2808045.26,manufacturing,365325.98,0.0
423,45,2026-01-01,322,8224287.76,warehouse,654484.08,0.0
424,14,2024-07-01,152,3495712.8,operations,520448.37,0.0
425,4,2025-10-01,159,4145920.13,finance,0.0,942632.2
426,11,2025-04-01,169,4987233.96,sales,0.0,0.0
427,33,2025-08-01,171,5482616.96,manufacturing,569098.65,0.0
428,41,2024-10-01,129,2813303.6,sales,0.0,352877.92
429,3,2024-10-01,252,7063226.24,operations,513868.51,1510123.27
430,38,2024-11-01,149,3524017.16,operations,193165.96,837612.53
431,27,2025-07-01,344,7248983.94,manufacturing,674039.56,0.0
432,4,2024-10-01,159,4744624.76,HR,0.0,944200.36
433,15,2024-09-01,487,10175324.11,HR,0.0,0.0
434,43,2024-04-01,275,7665177.91,HR,0.0,0.0
435,4,2024-10-01,159,3647836.44,sales,0.0,811980.27
436,26,2024-12-01,465,10149365.64,operations,1378010.9,0.0
437,38,2024-05-01,149,4781498.45,HR,0.0,0.0
438,30,2025-03-01,418,12021324.85,support,0.0,0.0
439,27,2025-03-01,344,6951872.96,operations,773372.91,0.0
440,45,2024-09-01,322,8251963.91,manufacturing,485027.74,0.0
441,14,2024-11-01,152,4495808.05,manufacturing,302659.43,898680.49
442,41,2024-10-01,129,2906983.09,manufacturing,404988.67,546069.33
443,4,2025-12-01,159,5420212.04,HR,0.0,0.0
444,30,2024-12-01,418,13574275.5,warehouse,782221.35,0.0
445,3,2024-11-01,252,7511527.94,HR,0.0,1091435.73
