expense_id,business_id,expense_name,expense_category,amount,expense_date,recurring,frequency,supplier_name,importance
24,25,Raw materials Payment,raw materials,492225.41,2024-10-26,True,quarterly,Venkataraman Group,critical
25,40,Maintenance Payment,maintenance,31209.83,2025-06-08,False,,"Narang, Deshmukh and Kulkarni",high
26,10,Transportation Payment,transportation,8434.12,2025-01-16,True,monthly,"Babu, Kala and Manne",critical
27,6,Rent Payment,rent,154372.66,2025-06-23,False,,Peri Ltd,critical
28,21,Maintenance Payment,maintenance,3336.03,2024-04-24,False,,"Kala, Date and Wali",high
29,18,Tax Payment,tax,24921.14,2024-05-10,True,weekly,Tripathi Inc,low
30,7,Electricity Payment,electricity,565.16,2025-08-13,True,monthly,Menon PLC,medium
31,27,Software Payment,software,23568.33,2024-08-03,False,,Upadhyay Inc,high
32,27,Raw materials Payment,raw materials,168606.92,2025-08-11,True,daily,Cherian PLC,medium
33,27,Tax Payment,tax,11509.13,2025-08-25,False,,Rau Ltd,medium
34,11,Transportation Payment,transportation,23422.09,2024-12-09,False,,Venkatesh Ltd,critical
35,1,Tax Payment,tax,13186.76,2025-07-20,True,quarterly,"Chaudry, Sani and Nair",medium
36,28,Transportation Payment,transportation,41855.42,2025-03-08,True,daily,Bal and Sons,low
37,23,Rent Payment,rent,350969.1,2025-08-04,False,,"Bandi, Dube and Venkataraman",high
38,24,Fuel Payment,fuel,1608.47,2025-04-26,True,monthly,"Amble, Kala and Bhandari",critical
39,10,Tax Payment,tax,3149.33,2025-05-09,True,monthly,"Shroff, Gara and Yohannan",critical
40,39,Maintenance Payment,maintenance,13911.05,2025-04-22,False,,Mitter and Sons,medium
41,43,Employee welfare Payment,employee welfare,26039.28,2024-10-02,True,weekly,Wagle-Viswanathan,critical
42,49,Rent Payment,rent,466463.74,2025-02-07,False,,Sastry and Sons,high
43,31,Employee welfare Payment,employee welfare,771.31,2024-04-13,False,,Arya-Pandit,critical
44,9,Internet Payment,internet,15853.61,2024-08-21,False,,Samra Ltd,medium
45,37,Warehouse Payment,warehouse,145656.07,2025-08-25,True,daily,Rege-Palla,low
46,45,Raw materials Payment,raw materials,429972.99,2025-02-15,False,,Shroff Inc,critical
47,26,Maintenance Payment,maintenance,3738.07,2025-07-31,False,,Ghose-Memon,high
48,9,Maintenance Payment,maintenance,38214.8,2025-03-14,True,quarterly,Gera-Naik,high
49,5,Employee welfare Payment,employee welfare,38617.08,2026-03-03,False,,Pal-Ramesh,low
50,24,Electricity Payment,electricity,26982.89,2024-09-27,True,monthly,"Choudhry, Golla and Dugar",medium
51,4,Tax Payment,tax,28902.1,2025-04-19,False,,Borah LLC,low
52,41,Raw materials Payment,raw materials,739898.1,2026-03-03,False,,Tailor-Kumar,critical
53,29,Rent Payment,rent,71395.76,2024-04-10,False,,"Guha, Bakshi and Ramachandran",low
54,46,Tax Payment,tax,11913.16,2025-02-08,False,,Thaman-Singhal,medium
55,36,Internet Payment,internet,32912.08,2024-05-29,False,,Yogi LLC,medium
56,9,Transportation Payment,transportation,77542.96,2026-03-14,True,daily,"Kothari, Sarraf and Bahri",high
57,43,Fuel Payment,fuel,4678.6,2025-04-03,False,,Kohli and Sons,medium
58,35,Rent Payment,rent,321925.03,2025-11-16,False,,Choudhury-Parmer,high
59,35,Warehouse Payment,warehouse,233795.83,2024-07-18,False,,"Comar, Shah and Parikh",medium
60,16,Raw materials Payment,raw materials,152306.12,2024-11-19,False,,Grover Inc,high
61,18,Electricity Payment,electricity,24163.98,2025-08-09,True,daily,Mital and Sons,critical
62,36,Internet Payment,internet,28973.98,2026-02-27,True,daily,Ram Ltd,low
63,50,Fuel Payment,fuel,14910.52,2025-08-23,True,quarterly,Jhaveri-Bhagat,critical
64,34,Tax Payment,tax,13705.11,2025-11-10,True,monthly,Reddy-Sachar,low
65,40,Raw materials Payment,raw materials,135386.13,2025-09-24,False,,"Kohli, Nair and Pandit",high
66,20,Employee welfare Payment,employee welfare,26063.57,2024-11-28,False,,Choudhury Group,low
67,30,Electricity Payment,electricity,27126.93,2024-07-28,False,,Khanna-Varughese,low
68,19,Rent Payment,rent,118026.47,2025-10-17,True,monthly,"Toor, Minhas and Edwin",critical
69,16,Tax Payment,tax,23320.46,2025-09-16,True,weekly,Lala-Chad,critical
70,30,Rent Payment,rent,96900.29,2026-01-13,False,,Pandya-Hegde,medium
71,50,Warehouse Payment,warehouse,326072.18,2025-08-09,True,weekly,"Bhagat, Seth and Banerjee",critical
72,29,Maintenance Payment,maintenance,10519.33,2024-07-18,True,daily,"Gandhi, Lad and Ray",low
73,3,Electricity Payment,electricity,35688.37,2024-08-30,True,weekly,Naidu Group,low
74,25,Internet Payment,internet,11413.91,2024-12-16,True,daily,"Tank, Srinivasan and Bakshi",high
75,33,Transportation Payment,transportation,23498.53,2024-11-16,True,monthly,Sekhon and Sons,medium
76,39,Transportation Payment,transportation,32222.11,2025-08-06,False,,Bhatt LLC,medium
77,28,Electricity Payment,electricity,27843.2,2024-10-01,True,weekly,Seth PLC,high
78,31,Raw materials Payment,raw materials,193580.4,2024-04-12,True,monthly,"Swaminathan, Shukla and Kota",high
79,35,Fuel Payment,fuel,40775.96,2026-03-02,True,quarterly,Dhawan Ltd,medium
80,5,Fuel Payment,fuel,33760.7,2025-07-28,True,daily,Bera Ltd,low
81,43,Fuel Payment,fuel,2778.31,2025-02-21,False,,Roy-Dalal,medium
82,39,Employee welfare Payment,employee welfare,31065.56,2025-04-12,True,daily,"Maharaj, Gera and Raja",high
83,31,Maintenance Payment,maintenance,23825.82,2024-10-12,True,quarterly,"Varma, Krishnamurthy and Srinivasan",low
84,23,Internet Payment,internet,2243.18,2024-05-29,False,,Bobal LLC,critical
85,27,Transportation Payment,transportation,39388.74,2025-11-20,False,,Mukhopadhyay-Saran,critical
86,5,Maintenance Payment,maintenance,8407.99,2026-03-11,True,daily,Chhabra Inc,high
87,9,Employee welfare Payment,employee welfare,16043.8,2024-10-27,True,monthly,Nazareth-Hari,critical
88,1,Tax Payment,tax,28036.21,2025-08-06,False,,Gade PLC,low
89,31,Fuel Payment,fuel,15710.62,2025-03-31,True,weekly,"Soni, Borra and Prakash",medium
90,6,Employee welfare Payment,employee welfare,38259.42,2024-10-14,False,,"Cherian, Bhatti and Mannan",medium
91,35,Rent Payment,rent,163573.01,2024-05-21,False,,"Dass, Chowdhury and Dash",high
92,44,Electricity Payment,electricity,23356.22,2024-09-04,True,weekly,Thakur-Sha,medium
93,16,Software Payment,software,28939.5,2025-01-17,True,weekly,Thakkar PLC,low
94,13,Raw materials Payment,raw materials,153872.31,2025-09-29,False,,"Bhattacharyya, Manda and Sem",low
95,5,Tax Payment,tax,35791.59,2024-11-22,True,daily,Tripathi-Dhawan,medium
96,29,Fuel Payment,fuel,31152.21,2025-06-16,False,,Agate-Lala,medium
97,26,Transportation Payment,transportation,41780.48,2024-08-16,True,quarterly,"Korpal, Chanda and Dhawan",medium
98,29,Electricity Payment,electricity,15837.31,2025-06-03,True,weekly,Mangal PLC,critical
99,49,Transportation Payment,transportation,48683.2,2026-03-01,False,,Sama-Gandhi,low
100,3,Internet Payment,internet,38834.87,2024-11-25,False,,Khatri PLC,medium
101,11,Transportation Payment,transportation,6541.19,2025-08-03,True,monthly,Rao-Salvi,high
102,36,Warehouse Payment,warehouse,403969.14,2025-07-25,False,,Kannan-Kant,low
103,12,Fuel Payment,fuel,25328.45,2025-06-09,False,,Gour-Nath,high
104,25,Software Payment,software,37928.45,2024-08-28,False,,Ganesan-Kanda,low
105,37,Software Payment,software,38040.83,2025-12-22,False,,"Thakur, Mandal and Agarwal",medium
106,49,Software Payment,software,1685.82,2026-02-27,True,quarterly,Dube-Kadakia,high
107,31,Fuel Payment,fuel,44528.42,2024-10-15,False,,Saini-Basu,medium
108,25,Internet Payment,internet,9759.73,2025-11-14,True,daily,Koshy-Dhaliwal,medium
109,23,Employee welfare Payment,employee welfare,28087.5,2025-10-20,True,daily,"Khanna, Rama and Sankar",high
110,47,Tax Payment,tax,21618.22,2024-08-15,False,,Raj-Sarna,high
111,43,Warehouse Payment,warehouse,80352.95,2024-09-09,False,,"Bhatnagar, Venkataraman and Rana",high
112,23,Maintenance Payment,maintenance,33353.65,2024-06-15,False,,Nazareth PLC,medium
113,26,Transportation Payment,transportation,6188.25,2024-11-20,False,,Patla Group,high
114,18,Raw materials Payment,raw materials,104509.38,2026-03-25,False,,Om Group,low
115,32,Rent Payment,rent,450900.32,2025-02-26,True,weekly,"Devan, Varma and Swamy",medium
116,27,Fuel Payment,fuel,16631.36,2025-11-30,False,,"Thakkar, Batta and Cheema",high
117,37,Software Payment,software,43286.96,2025-02-08,False,,"Kaur, Bansal and Sarin",low
118,42,Warehouse Payment,warehouse,186376.59,2025-04-18,False,,Misra-Sankar,medium
119,1,Electricity Payment,electricity,10418.56,2025-06-26,False,,Badal-Raju,low
120,46,Software Payment,software,2037.29,2024-06-22,False,,Majumdar and Sons,critical
121,26,Tax Payment,tax,55719.19,2024-09-02,True,quarterly,Ganesh-Loke,medium
122,34,Fuel Payment,fuel,38356.89,2024-12-26,True,daily,"Ben, Nagy and Sinha",low
123,48,Electricity Payment,electricity,41996.45,2025-01-31,True,quarterly,"Swamy, Ray and Memon",low
124,2,Software Payment,software,18350.59,2025-08-18,True,monthly,"Tripathi, Ghose and Rout",medium
125,33,Maintenance Payment,maintenance,22075.88,2025-03-24,True,weekly,Dani-Srinivasan,critical
126,23,Electricity Payment,electricity,2416.03,2026-02-01,False,,Contractor-Bedi,medium
127,44,Software Payment,software,34595.43,2025-01-28,False,,Chaudry Group,medium
128,11,Fuel Payment,fuel,6294.92,2024-07-27,False,,"D’Alia, Misra and Saxena",medium
129,44,Software Payment,software,21371.43,2026-02-23,True,weekly,Seshadri-Narasimhan,medium
130,4,Transportation Payment,transportation,47077.75,2024-06-28,True,monthly,Comar and Sons,critical
131,24,Rent Payment,rent,81673.31,2025-01-28,False,,"Gala, Kashyap and Ramachandran",medium
132,44,Transportation Payment,transportation,36648.49,2024-11-11,False,,Ratta-Shah,medium
133,49,Internet Payment,internet,33514.24,2025-11-28,False,,"Raj, Andra and Soni",medium
134,49,Employee welfare Payment,employee welfare,13511.82,2026-03-20,False,,Mohan Inc,critical
135,27,Maintenance Payment,maintenance,48764.0,2025-02-27,False,,"Kibe, Jaggi and Dutta",medium
136,42,Raw materials Payment,raw materials,326710.54,2025-12-06,False,,"Taneja, Ram and Zacharia",high
137,46,Internet Payment,internet,26385.35,2025-02-26,True,weekly,Toor Ltd,high
138,38,Fuel Payment,fuel,32408.67,2024-05-12,False,,Wadhwa and Sons,critical
139,37,Electricity Payment,electricity,14558.12,2026-03-23,True,quarterly,"Vasa, Sengupta and Gandhi",critical
140,10,Fuel Payment,fuel,40179.79,2025-05-17,False,,"Natarajan, Jain and Chakraborty",critical
141,23,Rent Payment,rent,258113.58,2024-08-10,False,,Acharya-Misra,high
142,14,Fuel Payment,fuel,22085.15,2024-09-06,False,,Tak and Sons,high
143,37,Raw materials Payment,raw materials,491633.05,2024-09-13,False,,Singh-Char,high
144,17,Transportation Payment,transportation,3158.28,2025-10-08,False,,"Dave, Chana and Kapadia",low
145,41,Electricity Payment,electricity,25200.66,2025-11-04,True,weekly,Wable PLC,critical
146,43,Fuel Payment,fuel,48585.36,2025-01-02,True,monthly,"Sinha, Biswas and Sahni",high
147,25,Raw materials Payment,raw materials,261920.52,2024-08-12,False,,Bansal-Chahal,critical
148,32,Transportation Payment,transportation,1572.21,2024-05-09,True,weekly,"Doshi, Lanka and Biswas",critical
149,38,Software Payment,software,27260.63,2024-07-07,False,,Gole Group,medium
150,49,Warehouse Payment,warehouse,185739.7,2024-05-12,False,,Bajwa-Bala,critical
151,35,Maintenance Payment,maintenance,18172.99,2026-04-01,False,,Subramaniam-Kumar,low
152,30,Software Payment,software,9229.81,2025-09-05,True,daily,Khosla-Bhagat,medium
153,31,Tax Payment,tax,32958.54,2025-07-15,True,quarterly,Choudhry Inc,high
154,31,Rent Payment,rent,329810.09,2025-01-05,False,,Amble-Konda,critical
155,14,Employee welfare Payment,employee welfare,23313.29,2025-01-24,False,,"Subramaniam, Garg and Pingle",high
156,11,Employee welfare Payment,employee welfare,28635.49,2026-03-09,True,quarterly,Bhandari PLC,high
157,25,Maintenance Payment,maintenance,5311.47,2024-12-18,False,,"Sant, Natt and Oza",critical
158,28,Tax Payment,tax,39782.16,2025-05-14,False,,Sachdeva-Dasgupta,low
159,11,Software Payment,software,5378.34,2024-04-20,False,,Dani-Mahal,low
160,4,Tax Payment,tax,23832.16,2025-10-25,True,monthly,Kala LLC,low
161,13,Fuel Payment,fuel,27668.83,2025-03-19,True,quarterly,Din-Comar,medium
162,47,Rent Payment,rent,289905.22,2025-11-04,True,monthly,"Baria, Rege and Apte",critical
163,39,Warehouse Payment,warehouse,468286.32,2024-10-01,True,quarterly,Bobal Inc,medium
164,28,Warehouse Payment,warehouse,172245.69,2024-11-04,False,,Tailor Group,medium
165,19,Maintenance Payment,maintenance,39846.2,2025-09-27,True,weekly,Chanda Ltd,high
166,32,Internet Payment,internet,87902.69,2025-09-21,False,,Verma-Kalla,medium
167,3,Rent Payment,rent,90894.58,2025-06-02,False,,Buch Inc,critical
168,20,Warehouse Payment,warehouse,98500.83,2025-12-17,False,,Prashad-Mutti,high
169,16,Transportation Payment,transportation,3909.57,2024-10-19,False,,Dyal-Nath,low
170,30,Tax Payment,tax,28132.07,2024-05-06,False,,Kumar Group,critical
171,34,Electricity Payment,electricity,44941.44,2024-12-17,True,daily,Rajagopal-Raman,high
172,22,Employee welfare Payment,employee welfare,19306.44,2024-10-03,True,monthly,Mody Inc,medium
173,38,Fuel Payment,fuel,16529.64,2024-12-14,True,quarterly,Gaba Group,critical
174,33,Transportation Payment,transportation,13552.15,2025-07-27,True,quarterly,"Bhagat, Goda and Balan",high
175,46,Electricity Payment,electricity,29728.13,2024-08-16,False,,"Bhavsar, Char and Choudhry",high
176,29,Software Payment,software,44756.56,2025-08-13,True,quarterly,Kunda Inc,high
177,4,Tax Payment,tax,35978.7,2024-12-25,True,monthly,Cherian-Virk,high
178,2,Employee welfare Payment,employee welfare,10078.61,2026-03-09,False,,Pillay and Sons,medium
179,19,Warehouse Payment,warehouse,284577.27,2026-02-28,True,monthly,Dara-Nanda,low
180,35,Raw materials Payment,raw materials,86492.56,2024-05-24,True,monthly,"Kumar, Dalal and Shetty",high
181,45,Tax Payment,tax,45644.83,2024-09-23,True,quarterly,"Narain, Buch and Dasgupta",low
182,16,Transportation Payment,transportation,39221.97,2024-08-08,True,quarterly,Dube and Sons,low
183,41,Tax Payment,tax,8903.72,2025-03-26,True,monthly,"Prashad, Salvi and Yogi",high
184,37,Fuel Payment,fuel,45471.88,2025-08-18,False,,Karnik-Prakash,critical
185,5,Transportation Payment,transportation,41251.95,2026-04-02,False,,Bassi-Mannan,medium
186,32,Tax Payment,tax,41616.45,2025-08-28,True,daily,"Yadav, Chander and Som",low
187,23,Software Payment,software,3783.62,2024-05-25,True,weekly,"Sundaram, Raja and Peri",low
188,4,Rent Payment,rent,154996.4,2025-07-12,True,weekly,"Saxena, Bath and Parikh",medium
189,46,Internet Payment,internet,48032.18,2025-06-19,False,,Gulati Group,low
190,13,Employee welfare Payment,employee welfare,34370.41,2026-02-02,False,,Malhotra Group,high
191,2,Internet Payment,internet,42452.74,2025-04-20,False,,Shan-Char,high
192,42,Warehouse Payment,warehouse,489094.28,2025-12-07,False,,Deo-Bora,medium
193,19,Internet Payment,internet,44009.59,2024-10-02,True,quarterly,Basak Group,high
194,33,Fuel Payment,fuel,23603.69,2024-07-26,True,quarterly,Chaudhuri and Sons,high
195,38,Employee welfare Payment,employee welfare,10307.82,2025-07-30,False,,Majumdar and Sons,high
196,49,Warehouse Payment,warehouse,492908.84,2025-07-19,False,,Sem and Sons,medium
197,19,Tax Payment,tax,37604.53,2024-10-04,True,quarterly,Yohannan-Ahluwalia,medium
198,47,Maintenance Payment,maintenance,32584.79,2024-05-10,False,,Mody Inc,low
199,45,Employee welfare Payment,employee welfare,38749.47,2025-02-13,True,daily,"Halder, Bansal and Mangat",high
200,49,Tax Payment,tax,20057.54,2025-10-28,False,,Ravi Ltd,critical
201,44,Raw materials Payment,raw materials,250960.34,2025-10-01,False,,"Tiwari, Sem and Barman",low
202,47,Maintenance Payment,maintenance,6164.57,2024-10-19,False,,Biswas and Sons,critical
203,8,Employee welfare Payment,employee welfare,46072.05,2024-12-11,True,weekly,Dalal-Tripathi,critical
204,43,Maintenance Payment,maintenance,39455.37,2024-09-02,False,,"Raman, Mody and Tripathi",high
205,30,Tax Payment,tax,22267.78,2026-01-20,False,,Taneja Inc,high
206,41,Warehouse Payment,warehouse,164983.64,2025-10-06,True,daily,Krishna Ltd,medium
207,27,Rent Payment,rent,430913.77,2025-02-07,False,,Sibal PLC,high
208,13,Tax Payment,tax,32319.64,2025-05-08,False,,Bhatt and Sons,low
209,31,Warehouse Payment,warehouse,74628.59,2024-12-01,False,,Bawa and Sons,medium
210,24,Fuel Payment,fuel,49929.76,2024-11-25,False,,Bali LLC,critical
211,5,Software Payment,software,28765.0,2025-10-19,True,monthly,Gole-Desai,low
212,37,Internet Payment,internet,19916.1,2024-11-27,True,weekly,Korpal Group,critical
213,14,Raw materials Payment,raw materials,196873.99,2024-11-12,False,,"Karan, Kaul and Tank",medium
214,20,Raw materials Payment,raw materials,68555.59,2024-11-29,False,,Chada-Wable,high
215,20,Raw materials Payment,raw materials,313009.42,2024-10-10,True,weekly,Mistry LLC,high
216,41,Tax Payment,tax,32191.5,2025-07-12,False,,Sem PLC,high
217,6,Fuel Payment,fuel,37043.44,2025-07-26,False,,"Sarkar, Dube and Deo",high
218,31,Raw materials Payment,raw materials,299129.74,2024-10-25,False,,Goswami PLC,medium
219,30,Software Payment,software,26296.32,2025-10-04,False,,Kanda-Dugal,critical
220,29,Fuel Payment,fuel,34889.02,2024-10-19,True,monthly,Peri Inc,low
221,20,Electricity Payment,electricity,22835.94,2025-10-20,True,daily,"Luthra, Dayal and Bhargava",high
222,13,Rent Payment,rent,446963.94,2025-02-24,False,,Ganguly Ltd,medium
223,34,Rent Payment,rent,162749.77,2024-10-14,True,monthly,"Ram, Dasgupta and Swamy",high
224,36,Raw materials Payment,raw materials,194361.22,2025-09-14,True,quarterly,Balay Ltd,low
225,43,Employee welfare Payment,employee welfare,63302.23,2025-03-15,True,daily,Prakash LLC,medium
226,9,Warehouse Payment,warehouse,344142.11,2025-09-25,False,,Nagar-Shanker,critical
227,44,Internet Payment,internet,83177.86,2025-09-07,False,,Saha Ltd,critical
228,47,Fuel Payment,fuel,4427.09,2025-01-27,True,monthly,Rai Ltd,medium
229,44,Transportation Payment,transportation,16751.7,2025-01-06,True,monthly,Balan-Ahluwalia,low
230,6,Tax Payment,tax,14951.8,2025-12-18,False,,"Bora, Chandran and Tak",medium
231,44,Warehouse Payment,warehouse,612741.99,2024-09-07,False,,Dada-Borah,medium
232,50,Electricity Payment,electricity,33523.19,2024-12-09,False,,Raval-Bali,high
233,11,Rent Payment,rent,568502.02,2026-03-23,True,daily,Munshi and Sons,low
234,22,Fuel Payment,fuel,44254.68,2024-06-03,True,monthly,Nayak Inc,low
235,26,Software Payment,software,16140.52,2024-04-14,True,weekly,Dhar Ltd,low
236,9,Maintenance Payment,maintenance,26929.62,2025-09-23,True,daily,Bhagat Ltd,high
237,16,Electricity Payment,electricity,82650.27,2024-09-26,True,quarterly,Raju-Chadha,low
238,3,Raw materials Payment,raw materials,248825.67,2024-12-06,True,quarterly,"D’Alia, Iyengar and Mani",high
239,33,Employee welfare Payment,employee welfare,51400.96,2024-09-07,True,quarterly,"Mammen, Vala and Toor",low
240,11,Employee welfare Payment,employee welfare,3553.15,2025-10-12,False,,"Arora, Thakur and Bhatt",low
241,23,Warehouse Payment,warehouse,137605.88,2026-03-11,True,monthly,"Vig, Savant and Mani",medium
242,44,Warehouse Payment,warehouse,436088.57,2025-03-19,False,,Sankar Group,high
243,29,Electricity Payment,electricity,3913.41,2025-07-12,False,,"Chand, Narang and Randhawa",low
244,45,Fuel Payment,fuel,18734.67,2025-03-06,False,,Bajaj LLC,medium
245,14,Tax Payment,tax,24392.21,2024-11-13,False,,Narasimhan Inc,medium
246,2,Maintenance Payment,maintenance,13481.97,2024-05-15,True,daily,Mander Group,critical
247,10,Electricity Payment,electricity,38551.99,2024-08-14,False,,"Ratti, Parmar and Mittal",high
248,39,Software Payment,software,5827.59,2025-09-16,False,,"Aurora, Nayar and Talwar",low
249,17,Maintenance Payment,maintenance,40062.49,2026-03-19,False,,Toor Ltd,high
250,27,Electricity Payment,electricity,25566.77,2025-01-05,False,,Kumer-Dutta,high
251,27,Transportation Payment,transportation,10871.98,2025-05-11,False,,Kumar-Pillai,critical
252,32,Fuel Payment,fuel,27838.94,2025-06-02,True,monthly,"Shankar, Patla and Mander",low
253,12,Maintenance Payment,maintenance,25559.09,2025-04-04,False,,Dewan-Kar,medium
254,10,Rent Payment,rent,151206.93,2024-08-19,False,,Mital-Hans,medium
255,15,Raw materials Payment,raw materials,192720.7,2024-06-18,False,,Ganesan and Sons,critical
256,8,Software Payment,software,22100.95,2025-07-01,False,,Bedi-Narula,medium
257,45,Transportation Payment,transportation,19855.44,2025-01-28,True,weekly,Din LLC,medium
258,13,Fuel Payment,fuel,49036.77,2025-03-18,False,,"Wagle, Bhalla and Tak",low
259,16,Warehouse Payment,warehouse,533257.85,2025-03-18,False,,Patla Inc,medium
260,47,Transportation Payment,transportation,46630.78,2024-05-23,True,monthly,Naik LLC,high
261,39,Electricity Payment,electricity,70897.67,2025-09-16,True,monthly,"Mander, Hora and Tripathi",medium
262,2,Warehouse Payment,warehouse,348438.75,2025-06-03,False,,Wali Inc,medium
263,16,Raw materials Payment,raw materials,85249.45,2025-09-23,False,,Kulkarni Inc,high
264,46,Fuel Payment,fuel,21300.01,2026-01-14,True,weekly,Bose Ltd,high
265,31,Rent Payment,rent,479262.97,2024-04-23,True,weekly,Barad PLC,low
266,7,Employee welfare Payment,employee welfare,43904.66,2024-04-29,True,quarterly,Radhakrishnan-Khurana,critical
267,36,Internet Payment,internet,40978.89,2024-11-27,True,weekly,Boase Ltd,critical
268,11,Internet Payment,internet,20179.1,2024-07-19,True,daily,Deo-Saxena,low
269,20,Software Payment,software,56111.92,2024-09-04,False,,Bandi PLC,high
270,31,Raw materials Payment,raw materials,481416.66,2024-12-16,False,,Banik PLC,medium
271,27,Internet Payment,internet,62283.72,2024-09-08,True,quarterly,Sachdeva LLC,medium
272,27,Employee welfare Payment,employee welfare,15311.26,2025-09-26,True,monthly,"Saxena, Sinha and Jaggi",critical
273,20,Raw materials Payment,raw materials,355113.32,2026-01-30,True,quarterly,Hayer-Nadig,critical
274,28,Raw materials Payment,raw materials,265596.58,2024-08-06,False,,Pal-Kari,critical
275,5,Fuel Payment,fuel,34309.99,2025-08-18,True,weekly,Sagar-Ahuja,medium
276,28,Employee welfare Payment,employee welfare,4922.94,2024-10-31,False,,Nigam-Gera,low
277,39,Employee welfare Payment,employee welfare,25996.62,2025-05-26,True,weekly,Master Group,high
278,44,Employee welfare Payment,employee welfare,19118.43,2024-06-03,True,monthly,Radhakrishnan LLC,low
279,48,Electricity Payment,electricity,42124.98,2024-11-16,False,,Subramaniam LLC,high
280,43,Fuel Payment,fuel,51109.05,2025-03-05,False,,Oak and Sons,medium
281,50,Employee welfare Payment,employee welfare,22523.05,2024-06-08,True,weekly,"Bose, Sarna and Natarajan",low
282,23,Internet Payment,internet,81854.98,2025-09-26,False,,Khare-Chad,high
283,16,Tax Payment,tax,26769.48,2025-10-23,False,,"Dutta, Lalla and Gill",high
284,15,Tax Payment,tax,33136.0,2026-01-09,False,,"Mani, Amble and Sharma",medium
285,20,Raw materials Payment,raw materials,594977.76,2025-03-15,False,,"Naidu, Sani and Naidu",medium
286,7,Electricity Payment,electricity,45414.13,2026-01-25,False,,Wagle-Jayaraman,high
287,34,Electricity Payment,electricity,34713.28,2026-02-16,False,,"Thakur, Mand and Singhal",high
288,7,Rent Payment,rent,144091.5,2024-06-29,False,,"Khosla, Shenoy and Bir",low
289,22,Warehouse Payment,warehouse,65014.64,2024-10-06,True,weekly,Sankaran-Suresh,critical
290,17,Electricity Payment,electricity,14919.94,2026-03-08,False,,"Deep, Loyal and Devan",low
291,28,Software Payment,software,39040.42,2024-08-15,True,daily,"Savant, Tailor and Handa",critical
292,34,Tax Payment,tax,6314.41,2024-06-06,True,weekly,Cherian-Kala,high
293,29,Rent Payment,rent,718109.5,2026-03-31,False,,"Mohanty, Gupta and Pal",medium
294,26,Internet Payment,internet,17336.26,2026-01-07,False,,Sunder Group,critical
295,32,Internet Payment,internet,29916.61,2025-01-18,False,,Dara PLC,high
296,43,Internet Payment,internet,23870.35,2024-07-24,False,,Sampath Ltd,critical
297,22,Software Payment,software,25209.23,2025-10-23,True,daily,"Bhasin, Shroff and Doshi",critical
298,44,Maintenance Payment,maintenance,21208.1,2025-05-30,False,,Anand-Mukhopadhyay,medium
299,10,Maintenance Payment,maintenance,11691.98,2026-04-04,False,,Hora-Sant,medium
300,20,Maintenance Payment,maintenance,29825.62,2025-02-09,True,monthly,Hora-Doshi,critical
301,24,Employee welfare Payment,employee welfare,37403.05,2025-09-26,True,daily,Ramanathan Ltd,low
302,1,Tax Payment,tax,25812.7,2025-08-19,True,quarterly,Mukhopadhyay LLC,critical
303,47,Warehouse Payment,warehouse,359633.22,2025-06-08,True,quarterly,Balakrishnan-Jaggi,medium
