vendor_payment_id,business_id,vendor_name,payment_amount,due_date,payment_date,delay_days,criticality_level,vendor_category,payment_status
44,42,Nanda Ltd,880816.72,2025-07-25,,25,low,electricity,overdue
45,4,"Bhattacharyya, Rai and Bains",552552.02,2025-09-23,,1,low,electricity,overdue
46,42,"Anand, Lad and Parikh",530870.71,2025-06-28,2025-06-27,0,high,electricity,paid
47,34,"Goswami, Dhaliwal and Cherian",570203.8,2024-10-21,,47,low,packaging,overdue
48,7,"Chatterjee, Tak and Lal",199925.63,2025-09-26,,0,high,internet,pending
49,37,"Mangal, Raghavan and Reddy",291141.08,2025-09-22,2025-09-27,5,critical,machinery,paid
50,19,"Soman, Panchal and Bora",983138.67,2026-03-18,,18,critical,electricity,overdue
51,16,Batta-Sarin,387237.09,2025-07-05,,22,medium,machinery,overdue
52,9,Sehgal-Divan,690406.08,2024-06-03,,8,low,maintenance,overdue
53,42,"Sampath, Bala and Raghavan",443047.97,2025-04-20,,24,low,packaging,overdue
54,50,"Buch, Chopra and Loke",683719.05,2025-08-06,,55,medium,logistics,overdue
55,29,"Shenoy, Nath and Verma",697392.96,2024-07-12,,0,medium,electricity,pending
56,34,Sinha LLC,334980.23,2024-06-01,2024-07-16,45,critical,internet,paid
57,9,Varughese and Sons,740440.44,2024-07-13,2024-07-11,0,medium,packaging,paid
58,8,Walla Group,413392.24,2024-12-11,,0,critical,logistics,pending
59,21,Biswas-Jha,497410.56,2025-11-22,,20,medium,raw materials,overdue
60,49,Nagar-Manda,961633.91,2024-06-16,2024-07-19,33,medium,software,paid
61,44,"Banik, Sridhar and Seshadri",95443.02,2025-05-03,,0,medium,software,pending
62,32,Kulkarni-Tripathi,214202.92,2024-07-31,,0,medium,software,pending
63,20,Ahluwalia LLC,27945.28,2025-07-05,,55,medium,electricity,overdue
64,47,Gulati-Pandey,197396.79,2026-03-20,,48,medium,logistics,overdue
65,40,"Doshi, Pall and Hegde",749714.92,2026-03-06,2026-03-03,0,high,internet,paid
66,20,Ben-Dugar,635730.18,2025-06-29,,0,medium,internet,pending
67,11,"Bala, Bhat and Karpe",328330.07,2025-05-08,,0,low,software,pending
68,49,Chanda and Sons,858771.19,2024-10-11,,5,low,logistics,overdue
69,15,"Balay, Loke and Oza",587185.68,2026-01-02,,0,high,logistics,pending
70,17,Rattan Ltd,123617.57,2025-07-28,,5,medium,electricity,overdue
71,40,"Kuruvilla, Agrawal and Nair",7962.26,2024-09-18,,0,critical,packaging,pending
72,10,Sehgal PLC,53218.43,2025-02-03,,0,medium,electricity,pending
73,35,Srinivas-Bahl,332954.64,2026-03-17,,58,critical,internet,overdue
74,9,"Kuruvilla, Iyer and Kapoor",727679.07,2024-07-04,,0,low,raw materials,pending
75,13,Oza Inc,930940.25,2024-10-21,2024-11-04,14,low,logistics,paid
76,3,Dora-Badami,420778.97,2026-04-06,,0,high,internet,pending
77,37,Bhatnagar PLC,523539.88,2024-07-30,,25,medium,logistics,overdue
78,30,"Prasad, Ganguly and Rau",798303.58,2024-08-08,,23,medium,maintenance,overdue
79,5,"Dugar, Kothari and Peri",817043.28,2026-01-31,2026-01-31,0,high,logistics,paid
80,22,Nanda-Nazareth,876537.65,2025-12-03,,0,medium,internet,pending
81,24,Sekhon-Rau,255650.54,2024-04-29,,0,medium,packaging,pending
82,19,Rajagopal Group,445984.6,2024-12-01,2024-11-29,0,medium,maintenance,paid
83,33,"Shenoy, Dugar and Karan",879389.36,2025-02-16,,0,high,raw materials,pending
84,1,Patla and Sons,152500.61,2025-07-18,,2,high,maintenance,overdue
85,42,Bala-Khatri,714022.58,2025-08-14,2025-08-14,0,low,internet,paid
86,50,Gour Group,785913.81,2025-10-22,2025-10-21,0,medium,electricity,paid
87,45,Venkataraman and Sons,533159.52,2025-10-19,2025-10-16,0,high,packaging,paid
88,45,Yadav-Jani,594129.27,2025-10-04,,0,high,machinery,pending
89,10,Muni-Bose,923864.62,2026-02-26,,0,high,software,pending
90,12,Datta PLC,884828.68,2024-07-09,,58,medium,raw materials,overdue
91,2,Mander-Pathak,136844.67,2024-09-24,,0,high,internet,pending
92,3,Balan-Ratta,308807.22,2025-05-16,,51,low,packaging,overdue
93,11,Apte-Lanka,178123.86,2025-04-28,,49,critical,electricity,overdue
94,27,Barad and Sons,46237.18,2024-06-12,2024-06-25,13,low,software,paid
95,5,Sane Group,72437.86,2024-09-18,2024-09-27,9,critical,logistics,paid
96,39,Gopal-Guha,467027.55,2024-10-15,,0,high,raw materials,pending
97,32,"Dara, Thaman and Kurian",323906.4,2024-04-18,,23,medium,maintenance,overdue
98,37,"Sanghvi, Dugal and Mitra",187864.42,2025-08-19,,29,critical,software,overdue
99,45,Natarajan-Mitra,203813.35,2025-10-24,,32,medium,maintenance,overdue
100,39,"Chopra, Lall and Mannan",599338.59,2025-09-21,2025-09-18,0,high,internet,paid
101,7,"Murty, Aggarwal and Rattan",733352.11,2025-07-12,,0,low,electricity,pending
102,48,"Bath, Shan and Ramesh",609737.12,2024-08-25,,0,critical,internet,pending
103,31,Majumdar LLC,916556.7,2025-11-21,2025-11-21,0,low,logistics,paid
104,26,Som-Palla,238537.68,2025-07-18,,38,high,logistics,overdue
105,27,Srinivasan-Walla,620374.32,2025-12-11,2026-02-04,55,medium,software,paid
106,12,Acharya-Kalita,250698.02,2025-02-19,,21,high,logistics,overdue
107,50,Gole-Rana,732997.72,2024-10-30,,0,low,electricity,pending
108,33,Dada Ltd,704106.42,2025-02-17,,0,low,electricity,pending
109,31,Dhar Ltd,904363.31,2025-05-01,,9,high,internet,overdue
110,29,Handa-Balay,534936.64,2025-09-07,2025-09-05,0,high,packaging,paid
111,20,Sunder-Halder,833695.36,2024-08-06,,0,high,maintenance,pending
112,37,Das and Sons,551654.99,2025-01-13,,16,medium,internet,overdue
113,4,Om-Hora,566897.42,2026-03-03,,35,critical,maintenance,overdue
114,32,Khosla-Halder,17234.3,2025-07-03,,0,medium,software,pending
115,44,"Varkey, Samra and Patla",882108.24,2024-12-02,,0,low,software,pending
116,2,Bhatnagar-Hayer,622527.28,2025-11-15,2025-11-24,9,critical,internet,paid
117,44,"Sur, Raghavan and Mahal",218791.09,2024-10-15,,39,low,packaging,overdue
118,25,Garg-Singh,361935.78,2025-09-29,,56,high,packaging,overdue
119,5,Bahl-Vasa,490026.31,2024-09-03,,0,high,machinery,pending
120,28,"Issac, Tank and Gupta",715282.65,2024-12-08,,53,medium,logistics,overdue
121,15,Dugar-Bail,145833.78,2025-01-04,,49,critical,internet,overdue
122,14,Sane Inc,177461.83,2024-06-28,,0,high,raw materials,pending
123,49,Gera-Toor,189161.61,2024-12-27,,38,medium,raw materials,overdue
124,4,Choudhury Group,472067.61,2024-07-05,2024-07-07,2,medium,logistics,paid
125,13,Raghavan-Ramachandran,934583.27,2025-09-08,,0,medium,packaging,pending
126,31,Babu-Pradhan,260424.73,2025-08-29,,26,critical,electricity,overdue
127,5,Jani-Sangha,608250.72,2025-12-02,,0,low,internet,pending
128,13,Sharma Inc,131864.67,2025-09-05,2025-09-16,11,high,packaging,paid
129,10,Mitter-Virk,867660.31,2024-07-11,,0,low,maintenance,pending
130,1,"Sharaf, Johal and Rana",35199.46,2025-07-22,,46,high,internet,overdue
131,25,Setty PLC,733989.51,2025-08-06,,0,high,logistics,pending
132,38,Kumar-Sha,994535.81,2025-08-26,2025-10-11,46,high,packaging,paid
133,6,Iyer Group,98805.01,2024-11-10,,0,low,electricity,pending
134,14,Deshmukh-Mangat,53651.98,2025-06-07,,0,critical,internet,pending
135,7,Zacharia-Sur,56328.64,2025-07-23,2025-07-29,6,low,software,paid
136,21,Tata Inc,860716.63,2024-04-13,2024-04-10,0,low,internet,paid
137,28,"Dora, Din and Krishnan",806968.09,2024-05-15,,0,low,raw materials,pending
138,25,"Bir, Kota and Rajagopalan",134556.14,2024-11-16,2024-11-15,0,medium,maintenance,paid
139,6,Ramachandran-Peri,419312.17,2024-10-12,2024-10-10,0,medium,logistics,paid
140,44,"Borde, Hari and Toor",37359.24,2026-01-09,2026-01-26,17,medium,software,paid
141,23,Virk Group,989690.39,2025-05-02,2025-05-02,0,medium,software,paid
142,37,Dara Ltd,784246.91,2024-11-21,2024-12-04,13,critical,internet,paid
143,10,Krishnan-Keer,555829.02,2025-12-06,,40,medium,logistics,overdue
144,43,Peri LLC,34580.35,2025-05-26,,9,medium,packaging,overdue
145,33,Mahal Inc,939625.46,2024-10-25,,53,critical,maintenance,overdue
146,30,Khosla LLC,963224.01,2025-12-18,2026-02-15,59,high,maintenance,paid
147,32,Mistry-Ray,864358.18,2024-07-19,,0,low,electricity,pending
148,30,"Chandra, Kumer and Sankar",497205.99,2024-07-05,2024-07-15,10,critical,internet,paid
149,11,Sarin-Kapoor,9608.85,2024-12-15,,58,medium,machinery,overdue
150,8,"Sandal, Bajaj and Deep",245458.07,2026-03-26,,2,low,software,overdue
151,23,"Narayanan, Sarkar and Kakar",124380.56,2025-09-01,2025-08-29,0,low,logistics,paid
152,8,Konda and Sons,71080.84,2024-04-29,2024-04-25,0,medium,software,paid
153,45,Butala Ltd,129102.52,2025-08-11,,0,critical,packaging,pending
154,47,Khosla-Shankar,777144.35,2024-08-03,,49,medium,maintenance,overdue
155,8,Hans Ltd,385920.16,2024-12-31,,56,critical,machinery,overdue
156,33,Dewan-Sarin,30869.68,2025-11-21,,0,high,machinery,pending
157,14,Agate Inc,545049.58,2024-12-12,,44,medium,maintenance,overdue
158,26,Sen-Shroff,81626.14,2024-10-25,,0,high,packaging,pending
159,7,"Raghavan, Garg and Chokshi",860159.55,2024-05-10,,0,low,packaging,pending
160,17,"Karan, Ray and Mukherjee",944699.84,2025-08-19,,0,medium,machinery,pending
161,18,Issac-Khatri,286779.09,2024-12-16,2024-12-15,0,critical,raw materials,paid
162,33,"Aurora, Ramakrishnan and Brahmbhatt",906820.04,2025-02-11,,26,high,machinery,overdue
163,27,Bal-Uppal,613928.04,2025-12-11,,8,high,maintenance,overdue
164,11,"Rajan, Salvi and Raghavan",68127.77,2024-04-20,,0,low,maintenance,pending
165,42,Sule LLC,362993.17,2025-12-13,,0,high,electricity,pending
166,4,Dora LLC,718759.69,2024-05-03,2024-05-16,13,low,electricity,paid
167,24,"Dewan, Subramaniam and Dada",747670.7,2025-09-01,,0,high,software,pending
168,37,Hayer-Gole,447563.63,2024-11-04,,4,low,raw materials,overdue
169,3,"Mahajan, Dube and Goswami",754368.68,2025-03-29,2025-04-09,11,high,packaging,paid
170,39,Bora-Badal,456010.03,2024-10-12,,35,critical,machinery,overdue
171,30,"Bumb, Soni and Parmar",768247.22,2025-02-15,,25,medium,raw materials,overdue
172,4,"Dayal, Bandi and Vasa",927387.86,2025-03-16,,52,critical,logistics,overdue
173,6,Bhavsar-Iyer,769299.53,2025-11-06,,0,medium,internet,pending
174,2,"Barad, Chawla and Menon",247520.44,2026-03-20,2026-03-17,0,critical,internet,paid
175,18,"Natt, Ram and Buch",369843.37,2025-03-06,,0,high,maintenance,pending
176,49,Bahl-Grewal,725109.36,2025-10-15,,0,medium,maintenance,pending
177,28,Gole-Savant,492942.13,2024-08-12,2024-08-09,0,medium,raw materials,paid
178,7,"Chhabra, Apte and Dugar",579343.37,2024-11-29,,0,critical,software,pending
179,21,Kara PLC,541971.69,2025-01-20,,0,critical,electricity,pending
180,28,Kata LLC,928236.31,2024-09-07,,0,low,logistics,pending
181,3,"Mitter, Raghavan and Vaidya",285496.65,2026-02-04,2026-04-05,60,medium,raw materials,paid
182,29,Ratti-Johal,682384.97,2024-11-20,,49,medium,machinery,overdue
183,20,Khurana-Warrior,255008.45,2025-12-21,,12,medium,maintenance,overdue
184,13,Venkataraman PLC,85448.28,2024-04-15,2024-04-13,0,medium,raw materials,paid
185,15,Srinivas Inc,905199.11,2024-05-17,2024-05-13,0,medium,software,paid
186,40,Dube-Dubey,233086.6,2025-10-25,,31,high,logistics,overdue
187,26,Sunder-Chandra,233282.43,2025-02-09,,0,high,logistics,pending
188,19,"Arya, Goswami and Loyal",865276.27,2025-10-23,,0,critical,raw materials,pending
189,28,Morar-Anand,594431.72,2025-04-20,,0,high,machinery,pending
190,2,Deshpande-Dara,799587.17,2026-01-24,2026-01-20,0,low,electricity,paid
191,15,Khalsa-Chaudhuri,94802.88,2025-01-28,,0,low,logistics,pending
192,38,"Sampath, Menon and Grover",976220.95,2024-05-08,,0,low,packaging,pending
193,9,"Vasa, Sanghvi and Rai",124630.06,2024-10-09,,0,medium,maintenance,pending
194,46,Borde and Sons,611366.9,2025-02-13,,10,critical,packaging,overdue
195,32,"Goswami, Saxena and Dhaliwal",162011.66,2024-06-25,,26,low,maintenance,overdue
196,43,Borra-Narula,906194.0,2025-08-13,2025-08-09,0,medium,machinery,paid
197,19,De and Sons,743621.02,2025-03-30,,0,low,logistics,pending
198,4,Pandit-Dhar,989737.3,2026-01-09,2026-01-08,0,critical,maintenance,paid
199,46,"Venkataraman, Wagle and Dhawan",137965.91,2026-03-13,,0,critical,machinery,pending
200,27,Naik and Sons,583361.38,2024-05-16,,28,low,maintenance,overdue
201,16,Ramakrishnan-Patel,720987.51,2025-01-26,,37,low,logistics,overdue
202,12,Sathe Ltd,543862.97,2025-12-03,2025-12-03,0,critical,internet,paid
203,23,Jain-Rai,338492.38,2025-05-01,2025-05-01,0,critical,maintenance,paid
204,29,"Sarraf, Chakrabarti and Sharma",305395.87,2024-11-28,,0,medium,software,pending
205,23,Dass PLC,321636.55,2026-02-06,2026-02-03,0,critical,machinery,paid
206,14,"Sampath, Chandran and Bhatti",524583.53,2024-10-13,,10,low,raw materials,overdue
207,25,"Sani, Shankar and Iyengar",741532.73,2025-07-03,,0,medium,logistics,pending
208,27,Kothari-Pandya,310116.26,2025-04-13,2025-04-25,12,medium,maintenance,paid
209,22,"Aggarwal, Khanna and Amble",640716.37,2024-07-08,,52,low,internet,overdue
210,14,Kaul-Kota,777878.7,2024-08-09,,38,medium,raw materials,overdue
211,14,Kannan-Solanki,934249.56,2025-03-05,,18,high,logistics,overdue
212,2,Saxena Group,13602.28,2025-01-02,2025-01-16,14,low,packaging,paid
213,4,"Prakash, Sem and Aurora",808575.36,2026-02-15,,20,low,software,overdue
214,34,Warrior-Subramanian,187537.11,2025-06-01,,16,low,raw materials,overdue
215,2,Mutti and Sons,19025.09,2024-06-15,2024-06-14,0,low,electricity,paid
216,28,Oza and Sons,481576.19,2024-06-24,2024-06-20,0,critical,logistics,paid
217,36,Borah Ltd,397060.9,2025-01-09,2025-01-19,10,medium,internet,paid
218,45,"Manda, Venkataraman and Rattan",206687.9,2025-07-05,,0,medium,machinery,pending
219,21,"Bhattacharyya, Krishna and Saxena",38306.79,2025-08-02,,0,high,logistics,pending
220,7,"Hans, Raja and Purohit",392606.93,2025-11-14,2025-11-12,0,medium,packaging,paid
221,1,Naidu Ltd,891026.89,2025-07-18,,0,high,software,pending
222,29,Bobal-Rout,885687.51,2025-01-05,,0,high,packaging,pending
223,2,"Narayan, Memon and Pathak",572843.62,2025-01-21,2025-01-19,0,medium,software,paid
224,17,"Bajwa, Kaur and Minhas",561264.8,2025-07-12,,29,low,packaging,overdue
225,12,Shroff-Pandey,622812.4,2025-07-27,,36,high,logistics,overdue
226,32,More-Bal,690476.59,2025-01-05,2025-01-01,0,critical,internet,paid
227,48,Khare Inc,386423.69,2025-03-28,,28,high,software,overdue
228,38,"Dash, Mistry and Warrior",243712.76,2026-02-05,,41,high,logistics,overdue
229,2,"Rao, Toor and Zacharia",870960.88,2024-07-24,,0,critical,raw materials,pending
230,7,Nanda Inc,992817.48,2025-08-14,,0,high,machinery,pending
231,4,Singh Ltd,504435.0,2025-08-03,,28,high,raw materials,overdue
232,23,Sawhney PLC,396277.09,2024-12-14,2024-12-14,0,medium,machinery,paid
233,17,Bhagat-Kuruvilla,566922.64,2025-12-11,,0,low,software,pending
234,45,Kar Group,158757.35,2025-07-29,,24,medium,packaging,overdue
235,30,Wadhwa LLC,632721.02,2024-09-08,,35,high,packaging,overdue
236,3,"Balay, Zacharia and Bala",305404.78,2024-10-11,,0,critical,machinery,pending
237,29,Sule and Sons,521815.24,2025-09-20,2025-10-02,12,medium,packaging,paid
238,6,"Kibe, Chacko and Issac",759022.1,2024-12-12,,41,low,machinery,overdue
239,23,"Sandhu, Lanka and Deol",11178.63,2024-10-22,2024-10-20,0,critical,maintenance,paid
240,26,"Keer, Gupta and Nagarajan",957116.91,2025-09-11,2025-09-06,0,high,packaging,paid
241,3,Sampath-Bhavsar,33857.24,2025-04-16,2025-05-31,45,high,internet,paid
242,15,"Khanna, Patel and Atwal",413607.02,2025-01-29,2025-01-28,0,critical,electricity,paid
243,27,"Behl, Gara and Anne",920495.64,2026-02-10,,0,medium,software,pending
244,43,Johal and Sons,486331.84,2025-06-23,,54,critical,software,overdue
245,34,"Apte, Kapoor and Johal",459935.24,2024-06-21,,0,medium,machinery,pending
246,2,Mani and Sons,131140.24,2025-08-27,,0,low,electricity,pending
247,16,Butala-Oza,253255.81,2024-05-12,,18,critical,maintenance,overdue
248,34,Dhaliwal Group,118328.53,2024-11-19,,25,medium,packaging,overdue
249,41,Sha-Raman,914657.44,2024-07-26,2024-08-03,8,medium,packaging,paid
250,30,Toor-Bedi,167388.73,2025-08-07,,3,critical,packaging,overdue
251,9,Puri PLC,222392.9,2025-05-25,,0,low,software,pending
252,5,Randhawa Ltd,559748.82,2025-04-18,2025-04-17,0,medium,logistics,paid
253,3,Garde PLC,846491.1,2024-11-17,,51,low,packaging,overdue
254,22,Varghese and Sons,398644.21,2024-09-02,,39,low,logistics,overdue
255,31,Saha Group,703657.91,2025-09-19,2025-09-19,0,critical,electricity,paid
256,27,"Banerjee, Narayan and Jain",800067.48,2024-08-30,2024-10-12,43,high,software,paid
257,35,Mand Group,419939.52,2025-05-03,,41,critical,internet,overdue
258,41,Radhakrishnan-Boase,273189.31,2025-12-27,,25,high,software,overdue
259,7,Nigam PLC,755513.64,2024-09-18,2024-09-24,6,low,electricity,paid
260,45,Joshi-Magar,781200.4,2025-01-14,,0,high,software,pending
261,46,Vig-Konda,271459.36,2024-06-27,,9,medium,software,overdue
262,50,"Chakraborty, Arya and Vohra",659097.38,2025-02-14,,49,medium,internet,overdue
263,6,Rau-Dave,749007.59,2025-03-03,,15,medium,raw materials,overdue
264,37,Samra-Dey,597383.19,2024-11-19,,0,low,software,pending
265,31,Lad-Dixit,401838.02,2025-12-14,,22,critical,logistics,overdue
266,2,Raj Group,483567.36,2024-10-31,,0,critical,logistics,pending
267,45,Bhargava-Bhat,19455.68,2024-09-14,2024-09-13,0,medium,logistics,paid
268,19,"Rau, Nazareth and Kalla",678874.68,2024-04-17,,11,high,logistics,overdue
269,1,Anne-Bora,609038.88,2024-09-26,,0,high,logistics,pending
270,17,Prakash-Aurora,231541.84,2024-12-24,,0,high,raw materials,pending
271,15,"Shetty, Sachdev and Garg",894823.59,2025-11-15,,12,high,software,overdue
272,42,Pal and Sons,940098.85,2024-11-08,,50,critical,maintenance,overdue
273,45,Mital Ltd,995295.24,2024-07-23,,0,critical,machinery,pending
274,9,"Roy, Ray and Sengupta",727480.94,2026-01-22,,39,medium,raw materials,overdue
275,40,Khalsa PLC,334288.38,2026-01-25,,0,high,packaging,pending
276,33,Chakrabarti-Balakrishnan,226761.35,2024-11-11,2024-12-23,42,high,software,paid
277,12,"Bassi, Babu and Kothari",970819.36,2025-07-30,2025-07-27,0,medium,electricity,paid
278,35,Ganguly-Menon,308894.44,2025-06-02,,0,low,maintenance,pending
279,17,Goel Ltd,506883.57,2024-12-05,,0,critical,logistics,pending
280,47,Misra-Kibe,259380.83,2025-04-19,2025-04-19,0,medium,logistics,paid
281,16,Radhakrishnan-Balan,700601.33,2024-07-26,,0,medium,maintenance,pending
282,48,Rau-Ramesh,601415.89,2026-03-05,,44,high,software,overdue
283,35,Dyal LLC,305230.5,2025-07-11,,2,critical,maintenance,overdue
284,43,Doctor Inc,656286.95,2024-12-25,,10,low,raw materials,overdue
285,4,Krish Inc,466642.64,2024-05-06,2024-05-01,0,high,software,paid
286,47,Sha-Ganesan,754148.61,2024-10-15,2024-10-25,10,low,internet,paid
287,26,"Kulkarni, Srinivas and Gade",754477.77,2025-11-01,2025-11-01,0,low,raw materials,paid
288,7,"Bajwa, Kar and Mander",156787.97,2024-10-29,2024-10-29,0,high,electricity,paid
289,48,Varughese-Pathak,511197.62,2026-04-04,,0,high,logistics,pending
290,40,Sastry Ltd,450545.07,2025-01-28,,0,low,internet,pending
291,6,"Batra, Mishra and Ramesh",732890.02,2024-07-22,,0,critical,machinery,pending
292,23,"Badal, Murty and Bhandari",73180.38,2025-06-01,2025-05-28,0,high,software,paid
293,32,"Goel, Chana and Bhatia",202864.74,2026-01-18,,12,medium,logistics,overdue
294,17,"Pillai, Bawa and Manne",131431.65,2025-08-23,,0,high,machinery,pending
295,28,"Sanghvi, Sathe and Dixit",893533.26,2025-05-30,,31,medium,internet,overdue
296,20,Narayanan-Yogi,894503.56,2024-05-23,2024-05-20,0,medium,logistics,paid
297,27,"Gola, Sathe and Sandal",794216.98,2025-03-12,2025-05-03,52,low,raw materials,paid
298,19,Prashad PLC,930270.36,2025-09-09,,41,low,raw materials,overdue
299,16,"Dubey, Oak and Karpe",937837.92,2024-09-09,,14,high,software,overdue
300,27,Merchant-Bali,812757.59,2024-11-23,2024-12-22,29,high,raw materials,paid
301,45,Golla-Golla,218752.87,2024-12-11,2024-12-10,0,medium,logistics,paid
302,23,"Gandhi, Dhar and Subramanian",264119.37,2024-09-30,2024-10-13,13,high,machinery,paid
303,29,Sampath-Ben,158969.64,2025-08-19,2025-08-21,2,high,packaging,paid
304,28,"Boase, Modi and Sane",334870.39,2024-06-12,,14,medium,internet,overdue
305,19,Oommen-Dave,506954.09,2025-09-16,,48,high,machinery,overdue
306,9,Pillay-Kapadia,318821.02,2025-10-19,2025-10-17,0,medium,raw materials,paid
307,22,"Bhalla, Barad and Pillay",935242.51,2025-02-02,2025-01-29,0,critical,raw materials,paid
308,40,Joshi Group,264133.44,2024-06-17,2024-06-13,0,medium,raw materials,paid
309,48,Bajaj-Choudhary,170974.28,2025-07-29,,39,low,electricity,overdue
310,48,Lall-Tandon,375758.49,2025-02-05,,18,high,raw materials,overdue
311,12,Butala and Sons,91793.83,2025-09-07,2025-09-03,0,medium,machinery,paid
312,23,Raghavan PLC,830697.23,2026-01-02,,0,critical,software,pending
313,29,Sur Group,99544.14,2025-11-11,2025-11-08,0,high,packaging,paid
314,19,Mani Inc,353314.42,2025-08-19,,5,low,internet,overdue
315,43,Bains-Sachar,645273.02,2024-08-19,,0,high,logistics,pending
316,35,Ramesh and Sons,188785.89,2024-07-30,,26,medium,maintenance,overdue
317,41,"Bassi, Padmanabhan and Raju",631764.12,2025-07-18,,8,high,machinery,overdue
318,45,Ganesh-Ramanathan,412138.72,2024-10-06,,0,high,software,pending
319,29,Kunda-Bahl,717364.72,2024-09-01,2024-08-29,0,low,packaging,paid
320,21,"Kapoor, Vig and Sathe",383488.97,2025-10-15,2025-10-13,0,low,raw materials,paid
321,23,Lall-Uppal,132841.9,2025-07-20,,0,critical,electricity,pending
322,19,Kunda PLC,568412.83,2025-06-04,2025-06-03,0,critical,maintenance,paid
323,41,Bhasin Group,112429.92,2025-11-15,2025-11-10,0,low,logistics,paid
324,25,Hegde-Mishra,889069.46,2024-07-05,,0,low,internet,pending
325,20,"Bahri, Sood and Natarajan",241835.88,2025-12-30,,0,critical,packaging,pending
326,7,Barad Inc,666675.78,2024-09-22,,0,medium,software,pending
327,17,Muni-Malhotra,252585.37,2025-08-26,,45,high,maintenance,overdue
328,13,"Bedi, Sethi and Bhardwaj",91346.05,2025-04-10,,0,high,packaging,pending
329,2,Saha PLC,613262.31,2025-03-28,,8,critical,maintenance,overdue
330,25,"Dhar, Ghose and Bobal",964093.29,2024-05-02,,0,low,maintenance,pending
331,34,"Doctor, Brar and Mutti",755288.02,2025-05-28,,33,medium,logistics,overdue
332,50,More Group,267414.02,2024-08-13,,0,high,machinery,pending
