invoice_id,business_id,customer_id,invoice_number,customer_name,invoice_amount,invoice_date,due_date,actual_payment_date,delay_days,invoice_status,customer_location,customer_type,payment_terms,customer_risk_score,invoice_category
23,10,461,INV-10023,Sheth-Agate,369625.94,2025-09-21,2025-10-06,,0,pending,Thanjavur,distributor,Net 15,high,raw materials
24,3,425,INV-10024,Nath-Kakar,378313.38,2025-07-20,2025-09-18,2025-09-14,0,paid,Bulandshahr,wholesaler,Net 60,low,raw materials
25,46,244,INV-10025,Nair and Sons,323835.99,2025-10-25,2025-11-24,2025-12-25,31,paid,Uluberia,local shop,Net 30,medium,export order
26,47,350,INV-10026,Sandal and Sons,191843.23,2025-08-27,2025-10-11,,0,pending,Kulti,wholesaler,Net 45,low,export order
27,47,215,INV-10027,"Khosla, Deshmukh and Dara",386939.94,2025-06-03,2025-06-18,,0,pending,Malda,distributor,Net 15,low,export order
28,5,489,INV-10028,Koshy-Padmanabhan,94425.46,2025-10-02,2025-11-01,2025-10-25,0,paid,Gangtok,retailer,Net 30,medium,export order
29,23,159,INV-10029,"Deshpande, Prabhakar and Ranganathan",30730.14,2025-07-23,2025-09-06,,0,pending,Ahmednagar,local shop,Net 45,low,raw materials
30,31,225,INV-10030,Nigam and Sons,256336.02,2025-08-10,2025-09-24,2025-08-16,0,paid,Deoghar,retailer,Net 45,low,retail order
31,10,53,INV-10031,Kulkarni Group,552756.8,2025-12-26,2026-01-25,2025-12-26,0,paid,Bhagalpur,distributor,Net 30,medium,raw materials
32,35,181,INV-10032,Chaudhari LLC,341611.02,2025-11-29,2025-12-14,,0,pending,Saharanpur,retailer,Net 15,medium,retail order
33,41,325,INV-10033,Bhatnagar-Taneja,522735.7,2025-04-27,2025-05-27,,318,overdue,Kadapa,retailer,Net 30,low,export order
34,47,369,INV-10034,Trivedi-Sachdev,554690.75,2026-04-04,2026-06-03,,23,overdue,Delhi,local shop,Net 60,low,raw materials
35,29,194,INV-10035,"Saha, Bhatti and Rattan",478030.0,2025-11-10,2025-12-25,2025-12-27,2,paid,Avadi,local shop,Net 45,medium,wholesale order
36,34,490,INV-10036,"Goswami, Toor and Dhaliwal",430902.1,2025-11-26,2026-01-10,2026-03-23,72,paid,Naihati,local shop,Net 45,high,export order
37,12,21,INV-10037,Mallick and Sons,972751.54,2025-06-28,2025-07-28,2025-07-04,0,paid,Rohtak,distributor,Net 30,low,wholesale order
38,16,255,INV-10038,Virk Group,82144.12,2025-12-22,2026-02-05,2026-01-14,0,paid,Hazaribagh,local shop,Net 45,medium,export order
39,27,76,INV-10039,"Chawla, Khurana and Sarkar",463085.57,2026-03-16,2026-04-30,,17,overdue,Chandrapur,wholesaler,Net 45,medium,wholesale order
40,29,309,INV-10040,Puri-Raja,155180.0,2025-08-24,2025-09-23,2025-08-25,0,paid,Kanpur,local shop,Net 30,low,wholesale order
41,29,333,INV-10041,"Chhabra, Bumb and Sandal",872331.12,2025-06-07,2025-07-07,,277,overdue,Thoothukudi,corporate,Net 30,medium,wholesale order
42,8,161,INV-10042,Sanghvi Group,253691.82,2025-06-09,2025-07-24,2025-09-02,40,paid,Morena,distributor,Net 45,high,wholesale order
43,44,346,INV-10043,Vohra-Sami,165020.25,2025-07-30,2025-09-13,,209,overdue,Sangli-Miraj & Kupwad,wholesaler,Net 45,low,wholesale order
44,1,383,INV-10044,"Yogi, Sunder and Hegde",449848.05,2025-05-17,2025-06-01,2025-05-21,0,paid,Kurnool,corporate,Net 15,medium,retail order
45,40,332,INV-10045,"Rajan, Borah and Bakshi",364045.6,2025-11-23,2025-12-23,,108,overdue,Mathura,corporate,Net 30,low,wholesale order
46,37,282,INV-10046,"Bhatnagar, Devan and Som",539350.0,2025-07-01,2025-08-15,,238,overdue,Panipat,distributor,Net 45,medium,raw materials
47,12,90,INV-10047,Hari Group,54986.6,2025-05-06,2025-07-05,,279,overdue,Eluru,wholesaler,Net 60,medium,retail order
48,30,276,INV-10048,Chad LLC,588571.71,2026-03-23,2026-04-07,,3,overdue,South Dumdum,retailer,Net 15,low,retail order
49,15,401,INV-10049,"Cheema, Cheema and Bhardwaj",264947.13,2025-12-14,2026-02-12,2026-03-10,26,paid,Ichalkaranji,retailer,Net 60,medium,raw materials
50,15,404,INV-10050,Modi-Samra,374493.79,2025-06-13,2025-07-28,,0,pending,South Dumdum,corporate,Net 45,high,wholesale order
51,14,197,INV-10051,"Kala, Morar and Ratta",747045.28,2025-09-01,2025-09-16,,0,pending,Siliguri,local shop,Net 15,high,wholesale order
52,4,381,INV-10052,"Sengupta, Dave and Mall",43523.12,2026-03-08,2026-05-07,2026-04-22,0,paid,Mehsana,wholesaler,Net 60,low,export order
53,19,254,INV-10053,Sachar and Sons,650285.9,2026-01-25,2026-03-11,,0,pending,Coimbatore,corporate,Net 45,high,raw materials
54,33,209,INV-10054,"Naidu, Balay and Badami",796991.44,2025-07-17,2025-09-15,,0,pending,Delhi,retailer,Net 60,medium,raw materials
55,19,103,INV-10055,"Karan, Kadakia and Rai",678343.6,2025-08-22,2025-09-21,,0,pending,Ozhukarai,local shop,Net 30,high,wholesale order
56,4,105,INV-10056,Murty-Nigam,77174.83,2025-11-02,2025-12-17,,0,pending,Hubli–Dharwad,wholesaler,Net 45,low,retail order
57,16,288,INV-10057,Raghavan-Borra,385664.37,2026-01-25,2026-03-11,,0,pending,Panihati,corporate,Net 45,medium,export order
58,47,158,INV-10058,"Pal, Nagar and Palan",269243.34,2025-10-09,2025-11-23,,138,overdue,Pallavaram,wholesaler,Net 45,low,export order
59,15,126,INV-10059,Sani LLC,886698.61,2025-12-19,2026-01-18,,82,overdue,Surat,wholesaler,Net 30,low,retail order
60,32,216,INV-10060,Mangal Group,555532.93,2026-01-16,2026-03-02,,39,overdue,Gulbarga,wholesaler,Net 45,high,retail order
61,18,129,INV-10061,"Manne, Arya and Dhawan",632730.24,2025-10-09,2025-11-08,2025-10-09,0,paid,Bidar,local shop,Net 30,low,wholesale order
62,44,141,INV-10062,Baral LLC,52818.97,2026-01-14,2026-02-28,,0,pending,Karaikudi,wholesaler,Net 45,medium,export order
63,8,167,INV-10063,Pant-Shere,243966.88,2026-03-02,2026-03-17,,24,overdue,Kota,local shop,Net 15,medium,retail order
64,22,369,INV-10064,Trivedi-Sachdev,952125.62,2026-04-01,2026-05-31,,11,overdue,Delhi,local shop,Net 60,low,retail order
65,15,88,INV-10065,"Joshi, Chandran and Vora",920230.1,2025-04-30,2025-06-29,2025-06-10,0,paid,Kakinada,distributor,Net 60,medium,retail order
66,43,18,INV-10066,Kari Inc,140264.76,2025-09-10,2025-10-25,2025-09-29,0,paid,Tiruppur,retailer,Net 45,low,export order
67,5,387,INV-10067,"Mane, Mitter and Prabhu",579320.35,2026-03-19,2026-04-03,,0,pending,Shahjahanpur,distributor,Net 15,medium,raw materials
68,49,406,INV-10068,Dube-Bir,514901.33,2026-03-09,2026-03-24,2026-05-07,44,paid,Gudivada,local shop,Net 15,high,export order
69,1,301,INV-10069,Bhandari-Raj,206402.76,2026-01-28,2026-02-12,,0,pending,Sangli-Miraj & Kupwad,retailer,Net 15,medium,retail order
70,29,146,INV-10070,Mody and Sons,426934.28,2025-05-11,2025-07-10,,0,pending,Malda,local shop,Net 60,medium,raw materials
71,49,118,INV-10071,"Hegde, Mitra and Krishna",138161.68,2025-08-13,2025-10-12,,180,overdue,Srikakulam,retailer,Net 60,low,retail order
72,46,18,INV-10072,Kari Inc,262697.64,2025-11-24,2026-01-23,,0,pending,Tiruppur,retailer,Net 60,low,export order
73,31,71,INV-10073,Pal PLC,642314.42,2026-03-03,2026-05-02,,1,overdue,Bahraich,retailer,Net 60,low,export order
74,33,266,INV-10074,"Mannan, Dada and Sabharwal",888883.6,2025-10-03,2025-11-02,,159,overdue,Panipat,retailer,Net 30,low,raw materials
75,33,88,INV-10075,"Joshi, Chandran and Vora",10481.41,2025-06-29,2025-07-14,,270,overdue,Kakinada,distributor,Net 15,medium,retail order
76,27,38,INV-10076,Narayan PLC,183069.86,2026-04-06,2026-06-05,,0,pending,Danapur,retailer,Net 60,high,wholesale order
77,49,352,INV-10077,D’Alia PLC,58804.74,2025-04-14,2025-05-29,,0,pending,Bettiah,distributor,Net 45,high,raw materials
78,18,183,INV-10078,"Hegde, Dua and Kumar",422689.66,2026-03-10,2026-03-25,,0,pending,Bijapur,retailer,Net 15,high,export order
79,2,497,INV-10079,"Mane, Venkatesh and Yadav",304199.44,2026-03-20,2026-04-19,,0,pending,Uluberia,corporate,Net 30,low,retail order
80,5,30,INV-10080,Kibe LLC,42784.97,2025-08-21,2025-10-20,,172,overdue,Junagadh,wholesaler,Net 60,high,raw materials
81,25,486,INV-10081,"Borde, Dua and Edwin",331953.04,2026-03-23,2026-05-22,,0,pending,Raebareli,retailer,Net 60,low,retail order
82,47,377,INV-10082,Nagar Group,907673.49,2025-12-27,2026-01-11,2026-02-07,27,paid,Sonipat,retailer,Net 15,medium,raw materials
83,25,103,INV-10083,"Karan, Kadakia and Rai",340667.36,2026-01-22,2026-02-21,,48,overdue,Ozhukarai,local shop,Net 30,high,wholesale order
84,31,116,INV-10084,Dhillon-Narula,625308.12,2026-01-31,2026-03-02,2026-05-13,72,paid,Hindupur,wholesaler,Net 30,high,export order
85,6,392,INV-10085,"Sunder, Dhar and Issac",497869.51,2025-07-02,2025-08-01,2025-07-27,0,paid,Orai,corporate,Net 30,low,export order
86,5,102,INV-10086,"Hari, Mitter and Borah",161868.67,2025-09-28,2025-11-12,2025-11-09,0,paid,Suryapet,distributor,Net 45,low,retail order
87,8,19,INV-10087,Bose Ltd,15193.28,2025-05-30,2025-06-29,2025-06-12,0,paid,Alappuzha,corporate,Net 30,low,retail order
88,28,467,INV-10088,Sodhi-Srivastava,3492.38,2025-06-13,2025-07-13,,0,pending,Khammam,distributor,Net 30,low,raw materials
89,50,355,INV-10089,Bose Group,275787.89,2026-02-06,2026-03-23,,18,overdue,Vellore,retailer,Net 45,medium,raw materials
90,15,88,INV-10090,"Joshi, Chandran and Vora",873930.1,2025-09-29,2025-11-28,2025-10-27,0,paid,Kakinada,distributor,Net 60,medium,raw materials
91,38,278,INV-10091,"Chokshi, Acharya and Dhar",947448.71,2025-07-03,2025-08-17,,236,overdue,Bhagalpur,corporate,Net 45,low,raw materials
92,49,371,INV-10092,Pandya-Swamy,934750.5,2025-04-20,2025-05-20,,325,overdue,Jamshedpur,wholesaler,Net 30,high,retail order
93,36,193,INV-10093,Minhas LLC,77702.69,2025-05-29,2025-06-13,2025-06-17,4,paid,Yamunanagar,retailer,Net 15,high,export order
94,7,158,INV-10094,"Pal, Nagar and Palan",466915.19,2025-08-27,2025-09-11,,0,pending,Pallavaram,wholesaler,Net 15,low,retail order
95,7,278,INV-10095,"Chokshi, Acharya and Dhar",212662.49,2025-08-16,2025-09-30,,192,overdue,Bhagalpur,corporate,Net 45,low,retail order
96,25,177,INV-10096,Ranganathan Group,869416.69,2025-10-25,2025-12-09,,0,pending,Bahraich,retailer,Net 45,high,wholesale order
97,17,311,INV-10097,Borra Inc,826827.6,2026-01-17,2026-02-16,2026-03-25,37,paid,Hubli–Dharwad,corporate,Net 30,medium,export order
98,47,319,INV-10098,Nair-Sandhu,607987.0,2025-07-25,2025-08-24,2025-11-08,76,paid,Siwan,wholesaler,Net 30,high,export order
99,10,189,INV-10099,"Bala, Ghose and Subramaniam",802890.86,2025-05-07,2025-06-21,,0,pending,Kolkata,wholesaler,Net 45,high,raw materials
100,18,66,INV-10100,"Krishnan, Johal and Vaidya",945940.83,2026-02-12,2026-04-13,2026-02-15,0,paid,Davanagere,distributor,Net 60,low,raw materials
101,24,39,INV-10101,"Chanda, Nadig and Garde",356063.72,2025-05-02,2025-05-17,,328,overdue,Cuttack,corporate,Net 15,medium,wholesale order
102,6,427,INV-10102,Varughese-Patla,859948.16,2025-11-25,2025-12-10,,0,pending,Morbi,distributor,Net 15,low,retail order
103,46,108,INV-10103,Goswami-Borra,547421.65,2026-02-24,2026-03-26,2026-03-21,0,paid,Bhiwani,distributor,Net 30,low,wholesale order
104,24,198,INV-10104,Bobal Group,979931.82,2025-07-10,2025-08-24,,0,pending,Motihari,corporate,Net 45,low,retail order
105,17,361,INV-10105,"Srinivasan, Sarma and Pradhan",845367.9,2025-05-04,2025-05-19,,0,pending,Madhyamgram,local shop,Net 15,low,retail order
106,19,420,INV-10106,"Hegde, Yohannan and Kalla",660355.47,2025-04-23,2025-06-22,,292,overdue,Panvel,local shop,Net 60,medium,retail order
107,23,447,INV-10107,"Gaba, Zachariah and Patla",512512.16,2026-02-23,2026-03-10,,31,overdue,Bhopal,corporate,Net 15,high,wholesale order
108,9,377,INV-10108,Nagar Group,527930.18,2025-10-30,2025-11-14,,147,overdue,Sonipat,retailer,Net 15,medium,export order
109,9,43,INV-10109,Hari-Kala,100007.81,2025-10-26,2025-11-25,2025-11-05,0,paid,Kulti,distributor,Net 30,low,export order
110,26,52,INV-10110,Bhat-Sule,138080.02,2025-10-20,2025-12-04,,127,overdue,Vasai-Virar,distributor,Net 45,low,retail order
111,23,67,INV-10111,Palla-Rama,124455.13,2026-04-01,2026-05-31,,28,overdue,Nagercoil,corporate,Net 60,low,raw materials
112,37,259,INV-10112,Tara LLC,91463.64,2026-03-28,2026-04-12,2026-04-12,0,paid,Srikakulam,retailer,Net 15,low,wholesale order
113,6,33,INV-10113,Rout-Randhawa,924360.38,2026-02-20,2026-04-21,,30,overdue,Mehsana,corporate,Net 60,medium,raw materials
114,21,293,INV-10114,"Oommen, Babu and Bhatt",816555.27,2025-08-07,2025-08-22,,0,pending,Medininagar,retailer,Net 15,medium,raw materials
115,47,440,INV-10115,Sant Group,173552.57,2025-06-30,2025-07-30,,254,overdue,Proddatur,distributor,Net 30,low,wholesale order
116,17,202,INV-10116,Kashyap Group,555829.14,2025-09-25,2025-11-24,,137,overdue,Gopalpur,distributor,Net 60,high,retail order
117,11,36,INV-10117,"Madan, Nadig and Divan",96456.51,2025-09-13,2025-09-28,,0,pending,Nellore,retailer,Net 15,medium,retail order
118,4,84,INV-10118,"Naik, Kakar and Borde",882745.26,2026-02-01,2026-02-16,2026-02-14,0,paid,Shivpuri,distributor,Net 15,medium,export order
119,22,367,INV-10119,Deo Group,454795.02,2025-12-29,2026-01-13,,87,overdue,Bulandshahr,distributor,Net 15,high,export order
120,20,148,INV-10120,Goyal Ltd,362930.46,2026-01-04,2026-02-03,,66,overdue,Gopalpur,corporate,Net 30,high,retail order
121,33,481,INV-10121,Barman-Mohan,568203.25,2026-01-27,2026-03-28,2026-02-21,0,paid,Tiruppur,local shop,Net 60,low,retail order
122,19,78,INV-10122,Minhas-Palan,896409.87,2025-09-26,2025-10-26,,0,pending,Guwahati,corporate,Net 30,medium,wholesale order
123,19,43,INV-10123,Hari-Kala,794760.42,2025-07-16,2025-08-15,,238,overdue,Kulti,distributor,Net 30,low,retail order
124,16,344,INV-10124,"Bhatt, Tiwari and Joshi",859842.05,2026-01-18,2026-03-04,2026-04-14,41,paid,Tiruchirappalli,retailer,Net 45,medium,wholesale order
125,26,22,INV-10125,Manda Group,849227.55,2025-11-07,2025-12-07,,124,overdue,Visakhapatnam,distributor,Net 30,low,raw materials
126,34,3,INV-10126,Kata-Samra,844943.57,2026-03-16,2026-05-15,,1,overdue,Warangal,wholesaler,Net 60,medium,raw materials
127,23,456,INV-10127,Sarkar PLC,348248.31,2025-10-08,2025-11-22,2025-12-24,32,paid,Hazaribagh,wholesaler,Net 45,high,raw materials
128,12,83,INV-10128,Sibal-Bath,980081.69,2025-12-07,2026-02-05,,64,overdue,Sirsa,distributor,Net 60,low,raw materials
129,25,297,INV-10129,Roy Group,389722.36,2025-07-30,2025-08-29,,0,pending,Bahraich,distributor,Net 30,high,retail order
130,8,81,INV-10130,Deep-Sanghvi,553894.38,2025-07-25,2025-08-24,2025-09-14,21,paid,Bhusawal,distributor,Net 30,high,retail order
131,29,50,INV-10131,"Wable, Suri and Gara",623738.37,2025-12-15,2026-01-29,,71,overdue,Ahmedabad,distributor,Net 45,low,wholesale order
132,21,431,INV-10132,Nazareth Ltd,111802.3,2026-01-15,2026-02-14,,0,pending,Thoothukudi,wholesaler,Net 30,low,wholesale order
133,38,427,INV-10133,Varughese-Patla,471725.26,2025-11-12,2025-11-27,,0,pending,Morbi,distributor,Net 15,low,raw materials
134,8,230,INV-10134,Dar-Arora,754172.52,2025-08-26,2025-10-25,,0,pending,Saharanpur,wholesaler,Net 60,high,retail order
135,14,305,INV-10135,"Badami, Rai and Bandi",810007.32,2025-09-06,2025-09-21,,0,pending,Sangli-Miraj & Kupwad,corporate,Net 15,low,wholesale order
136,8,25,INV-10136,Krishnamurthy-Hora,525628.46,2025-07-07,2025-08-21,2025-09-20,30,paid,Amroha,wholesaler,Net 45,medium,wholesale order
137,6,83,INV-10137,Sibal-Bath,66228.74,2026-03-20,2026-05-04,,0,pending,Sirsa,distributor,Net 45,low,wholesale order
138,46,160,INV-10138,Ganguly-Balasubramanian,745061.87,2026-03-06,2026-04-20,,0,pending,Kharagpur,retailer,Net 45,high,retail order
139,3,421,INV-10139,Tella-Pandya,287285.46,2025-05-15,2025-05-30,,315,overdue,Ghaziabad,corporate,Net 15,high,export order
140,41,191,INV-10140,Soman Inc,663034.42,2025-10-07,2025-12-06,,125,overdue,Srikakulam,retailer,Net 60,high,raw materials
141,5,24,INV-10141,"Nori, Thakkar and Dalal",585310.98,2026-02-07,2026-02-22,,0,pending,Malegaon,distributor,Net 15,high,wholesale order
142,38,120,INV-10142,"Bandi, Ramanathan and Thakkar",484267.78,2025-05-30,2025-07-29,,255,overdue,Chinsurah,local shop,Net 60,high,raw materials
143,16,336,INV-10143,"Parsa, Prabhu and Doshi",740308.27,2025-08-08,2025-09-07,,0,pending,Haldia,local shop,Net 30,low,raw materials
144,16,198,INV-10144,Bobal Group,467253.69,2025-07-29,2025-08-28,,225,overdue,Motihari,corporate,Net 30,low,raw materials
145,39,148,INV-10145,Goyal Ltd,939936.68,2025-10-26,2025-12-10,2026-01-25,46,paid,Gopalpur,corporate,Net 45,high,export order
146,43,157,INV-10146,"Srivastava, Bandi and Buch",584892.52,2026-03-29,2026-05-13,,13,overdue,Dewas,local shop,Net 45,high,wholesale order
147,30,92,INV-10147,"Tailor, Nori and Goda",142990.51,2025-06-10,2025-06-25,,289,overdue,Dhanbad,corporate,Net 15,medium,wholesale order
148,17,152,INV-10148,"Ramachandran, Padmanabhan and Pandya",127088.67,2025-08-22,2025-10-21,,0,pending,Gulbarga,wholesaler,Net 60,medium,retail order
149,36,407,INV-10149,"Dugar, Rama and Tara",984338.84,2026-01-30,2026-03-16,,0,pending,Jaipur,wholesaler,Net 45,low,wholesale order
150,20,195,INV-10150,"Chowdhury, Sachdev and Madan",815397.74,2025-10-12,2025-11-26,,135,overdue,Rohtak,local shop,Net 45,high,wholesale order
151,48,242,INV-10151,Patla-Raj,541788.97,2025-09-28,2025-11-27,,0,pending,Mangalore,corporate,Net 60,medium,export order
152,29,362,INV-10152,Nagarajan PLC,206120.54,2025-04-11,2025-04-26,2025-05-04,8,paid,Berhampore,local shop,Net 15,medium,export order
153,12,153,INV-10153,Dutt-Pingle,189245.73,2025-10-19,2025-11-18,2025-11-14,0,paid,Muzaffarpur,wholesaler,Net 30,low,raw materials
154,16,492,INV-10154,Ghosh and Sons,377875.22,2025-04-24,2025-06-23,2025-08-15,53,paid,Bhiwani,retailer,Net 60,high,wholesale order
155,20,49,INV-10155,Kapadia and Sons,298604.01,2025-06-23,2025-08-22,2025-09-04,13,paid,Saharanpur,distributor,Net 60,medium,raw materials
156,14,381,INV-10156,"Sengupta, Dave and Mall",153228.43,2025-11-27,2025-12-12,,0,pending,Mehsana,wholesaler,Net 15,low,retail order
157,28,328,INV-10157,Mangat Group,38548.09,2025-07-30,2025-09-28,2025-10-28,30,paid,Nellore,distributor,Net 60,medium,export order
158,39,391,INV-10158,Kapadia-Trivedi,368077.41,2025-09-30,2025-10-30,2025-10-27,0,paid,Thoothukudi,retailer,Net 30,low,retail order
159,26,361,INV-10159,"Srinivasan, Sarma and Pradhan",27387.12,2025-05-03,2025-06-17,,0,pending,Madhyamgram,local shop,Net 45,low,wholesale order
160,40,176,INV-10160,Grover PLC,139225.62,2025-07-04,2025-08-18,,235,overdue,Anand,retailer,Net 45,low,wholesale order
161,23,499,INV-10161,Kanda-Varty,59030.51,2025-05-21,2025-07-20,,0,pending,Bettiah,retailer,Net 60,high,export order
162,33,101,INV-10162,Murty-Mall,732980.8,2025-10-23,2025-11-07,2026-01-04,58,paid,Nandyal,corporate,Net 15,high,wholesale order
163,19,295,INV-10163,Issac-Chaudhry,373885.51,2025-11-01,2025-12-01,,0,pending,Pallavaram,corporate,Net 30,medium,raw materials
164,33,400,INV-10164,Subramanian Group,654795.42,2025-12-15,2025-12-30,2025-12-15,0,paid,Moradabad,corporate,Net 15,low,raw materials
165,6,423,INV-10165,"Palla, Bassi and Thakur",192121.15,2025-11-02,2025-12-02,,0,pending,Vadodara,distributor,Net 30,high,retail order
166,16,167,INV-10166,Pant-Shere,315369.39,2025-05-04,2025-05-19,,326,overdue,Kota,local shop,Net 15,medium,retail order
167,1,423,INV-10167,"Palla, Bassi and Thakur",911614.71,2025-08-10,2025-09-09,,213,overdue,Vadodara,distributor,Net 30,high,retail order
168,6,123,INV-10168,Menon-Banik,752529.37,2025-08-20,2025-09-19,,203,overdue,Nellore,local shop,Net 30,medium,wholesale order
169,38,38,INV-10169,Narayan PLC,246402.66,2026-02-03,2026-04-04,,0,pending,Danapur,retailer,Net 60,high,raw materials
170,50,168,INV-10170,Warrior LLC,844743.8,2026-02-03,2026-02-18,2026-02-22,4,paid,Aligarh,local shop,Net 15,medium,export order
171,31,278,INV-10171,"Chokshi, Acharya and Dhar",358174.52,2025-06-26,2025-07-26,,258,overdue,Bhagalpur,corporate,Net 30,low,raw materials
172,3,10,INV-10172,Ganguly-Kumar,192800.21,2025-05-25,2025-06-24,2025-06-23,0,paid,Davanagere,wholesaler,Net 30,low,export order
173,11,253,INV-10173,Saini PLC,231000.92,2025-09-01,2025-10-31,2025-11-12,12,paid,Tenali,retailer,Net 60,medium,raw materials
174,18,30,INV-10174,Kibe LLC,864046.01,2025-10-03,2025-12-02,2025-12-15,13,paid,Junagadh,wholesaler,Net 60,high,wholesale order
175,43,432,INV-10175,Luthra PLC,145590.76,2025-06-19,2025-07-19,,265,overdue,Thoothukudi,retailer,Net 30,low,retail order
176,34,342,INV-10176,"Bahri, Borra and Sidhu",32407.47,2025-07-23,2025-09-21,,0,pending,Vasai-Virar,local shop,Net 60,medium,retail order
177,49,461,INV-10177,Sheth-Agate,27115.36,2025-12-14,2026-01-28,,0,pending,Thanjavur,distributor,Net 45,high,wholesale order
178,11,137,INV-10178,Shere-Ramesh,67887.32,2025-12-03,2025-12-18,2025-12-13,0,paid,Allahabad,retailer,Net 15,medium,retail order
179,10,20,INV-10179,"Tiwari, Sane and Raghavan",837719.52,2026-04-02,2026-06-01,,0,pending,Nandyal,wholesaler,Net 60,low,retail order
180,37,196,INV-10180,Gala and Sons,66880.16,2026-02-04,2026-03-21,2026-03-07,0,paid,Pali,retailer,Net 45,medium,raw materials
181,27,93,INV-10181,"Varma, Sekhon and Rajagopal",594241.92,2025-08-08,2025-09-07,,0,pending,Orai,distributor,Net 30,high,raw materials
182,27,53,INV-10182,Kulkarni Group,672926.7,2025-10-29,2025-11-28,2026-01-02,35,paid,Bhagalpur,distributor,Net 30,medium,retail order
183,2,83,INV-10183,Sibal-Bath,308347.68,2025-07-14,2025-09-12,,0,pending,Sirsa,distributor,Net 60,low,wholesale order
184,50,339,INV-10184,Gokhale-Kothari,336973.43,2025-12-03,2026-01-17,,0,pending,Bhilwara,distributor,Net 45,medium,retail order
185,12,45,INV-10185,Ganesh-Raja,159884.78,2026-03-14,2026-03-29,,12,overdue,Katni,corporate,Net 15,medium,wholesale order
186,10,306,INV-10186,Desai Inc,114594.73,2026-03-15,2026-03-30,2026-06-01,63,paid,Madhyamgram,local shop,Net 15,high,raw materials
187,3,283,INV-10187,Rege-Dube,780680.5,2025-04-19,2025-06-03,2025-06-16,13,paid,Ranchi,retailer,Net 45,high,raw materials
